,tweets_VBP
47,"Qnd a Anitta mandou fazer o vestido dela de ontem, ela estava pensando em se proteger do Zica"
173,"Com a proliferação dos mosquitos, depois da dengue, da chikungunya e da zika, só falta agora um surto de febre amarela. Já há caso suspeito."
133,Ajude a eliminar o mosquito #AedesAegypti. Essa luta é de todos nós! #ZikaZero https://t.co/1HQbpvERbp
72,"abri a janela do quarto e nem um ventinho entra, mais fácil entrar o mosquito da dengue/zika"
167,Are scientists to blame for Zika virus? https://t.co/IQDGHmgofe De novo indicação da contribuição dos mosquitos G.M. da firma Oxitec.
200,"Se a pessoa leva uma picada do zika vírus e outro mosquito vem e da uma picada nessa pessoa,ele pega zika vírus?! Ele evolui pra zika virus?"
189,graças a deus a dilma aprendeu q zika é o vírus e não o mosquito
151,"fui me coçar e tinha outro mosquito me picando, ai fica a duvida: n basta zica ainda querem dengue? olha n da"
75,"Esperando a Ariel e aproveitando pra pegar uma Zika, ta cheio de mosquito aqui na calçada kkkkkkkkkkkk"
129,"Ligo a televisão e o noticiário é o tal do Mosquito Zika Vírus ou assuntos sobre as causas da Dengue, pqp RBS"
110,CADE A LIMPEZA NAS ESCOLAS DE SÃO LEOPOLDO ?? QUE TÃO FAZENDO DURMINDO EM CIAM DO MOSQUITO ZICA CHINCUNGUNHA ??... https://t.co/2oEHy95k3X
137,"com a quantidade de picada de mosquito que eu to pelo corpo, é bem provável que eu tenha dengue, zica ou chicu"
171,"E a Zika, hein? 220 mil homens do exército contra o mosquito Aedes Egypti. Os canhões não matam o bicho. Mas o governo faz marketing. Arghh!"
40,Chamar a pessoa de zika era elogio.... Agora com esse mosquito virou doença... Kkkkkkkkkk
59,fazendo a cruz com a unha nesta picada de mosquito para repreender a zika em nome de jesus
122,Cover up? Zika Mosquitoes Same as GM Mosquitoes ... - https://t.co/aKeGblTT0m - #ArmageddonScenarios https://t.co/73ZzHfeY2Q
51,E a manchete do 'Piauí Herald': 'Mosquito pica Keith Richards e é internado com zika'. https://t.co/EizKJzFOCQ
83,@mmaethe e o mosquito? É o zika vírus ? To preocupada maethezinea
186,Do onde veio o #zika vírus? Mosquitos geneticamente modificados sob suspeita:  https://t.co/9nnMC86qTa - via greenMe
226,"É a imprensa q faz torcer a favor do zika vírus! Último dia q vi o JN estavam procurando mosquito da dengue,zika,no palácio do planalto?"
25,Cadê a Izabella  Teixeira Ministra do Meio Ambiente  está atrás do mosquito Zica  e esqueceu de ver isso? Isso não pode acontecer.
81,Com a quantidade de mosquito que tem no meu trabalho é um MILAGRE eu ainda não ter pego Zika. Nem Dengue. Nem Chikungunya.
125,Passei a tarde numa rede no meio do mato cheio de mosquito querendo me passar zika dengue chico cunha mas não conseguiram pois sou vencedor
143,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/FdJxaNn70p"
212,@gshow Pode haver relação entre o mosquito geneticamente modificado solto recentemente e a explosão dos casos de Zika?
169,👉 A websérie 'Que Zika!' mostra cuidados de gestantes para se proteger do Aedes. Confira: https://t.co/AqIB6lLDwx #ZikaZero #CombateAedes
150,Cai a verba  federal de combate ao mosquito da dengue e zika https://t.co/7aylqD0Vr0
163,"segundo a filosofa ti Dri se um mosquito picar ela, certamente ele ja deve ta com zika, pq a vida dela ta tão zikada q quem pega zika é ele"
219,'pq a sociedade protetora dos animais não lutam em prol do mosquito zika?' https://t.co/Bgfl56G7DP
16,Com a sorte que eu tenho pego zika vírus e tétano no mesmo mosquito
191,"É a doença do momento, conheça alguns cuidados a ter para se proteger do virus Zika. - https://t.co/5A30FVhAI8 #travel #saude"
127,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/FdJxaNn70p"
57,"Sobre a Saúde Vamos pôr o mosquito da Dengue, Zika e Chikungunya na Cadeia - Mj. Olímpio. #DebateDaBand"
41,Ajude a rastrear focos do mosquito Aedes aegypt usando o celular.  https://t.co/ZgO1BfOjxI  #ZikaVirus #zika #zikazero #AedesAegypti
196,É a favor de projetos que são contra o mosquito transmissor do Zika vírus? Então ajude o Colégio Adventista de... https://t.co/ZGBtCxhOQZ
123,"Estou a louca do mosquito,tudo acho que é Zika."
22,"ZIKA A culpa é de todo mundo,décadas sabemos o que tem que ser feito para combater o mosquito e não fazemos. https://t.co/8lgP7nBTqO"
103,"Tirei a conclusão de que Deus me protege muito, pq todo dia é uma picada nova de mosquito e não peguei zika 🙏"
26,afffff a mia cancelou a viagem no brasil por causa da zika mosquito desgraçado
204,"Explicado a preocupação da Hope Solo com a zika no Brasil. Com aquela mata Atlântica no 'suvaco das coxas',os mosquitos vão procurar a selva"
211,"com a quantidade me mosquito q me picou eu certo q to com o zika virus, chikungunya, dengue...."
