,tweets_VBG
32,"Se a Dilma ficar até 2016,  o mosquito da zika vai chegar em todo Brasil. Praga da Dilma Ramses https://t.co/OQPelDUXa6"
74,do jeito que está tendo tanto mosquito aqui em casa eu acho que vou ter zika pela segunda vez.
139,Let me go inside before a mosquito gives me freaking zika 😩😩😩
56,G1 A facilidade de disseminação do vírus da zika em mosquitos culex contaminados em laboratório foi confirmada... https://t.co/ehBlzdoKw2
135,"Conheça a MOSQUITOEIRA   Nessa época de DENGUE, ZIKA essa 'engenhoca' pode ajudar a combater o mosquito  e SALVAR... https://t.co/MdH7CdLFXC"
244,"Ajude a evitar a proliferação do mosquito que provoca o Zika vírus e a Dengue | Obras, Reformas,... https://t.co/AHt0AURxzQ"
185,Pow a mulher flw que ta tendo mais mosquito da zica do que pernilingo o cu dela porq ela ainda não veio em jardim Marilândia
29,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC https://t.co/AOoJb5M5tl"
199,"É a doença do momento, conheça alguns cuidados a ter para se proteger do virus Zika. - https://t.co/5A30FVhAI8 #travel #saude"
148,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/FdJxaNn70p"
129,"Consulte a cartilha sobre o vírus Zika. Se o mosquito pode matar, ele não pode nascer!... https://t.co/Mb4IHbcI13"
42,Chamar a pessoa de zika era elogio.... Agora com esse mosquito virou doença... Kkkkkkkkkk
183,Como a gestante deve se proteger do Zika Vírus? - https://t.co/J4qSHvVS5F Via @_hypenews #Saúde
213,"Com a diminuição, quase fim, do jornal impresso é óbvio que aumenta a quantidade de mosquitos. Era a melhor arma... #AedesIsBack #ZikaVirus"
205,"Com a atual epidemia causada pelo mosquito Aedes aegypti, transmissor da dengue, zika e febre chicungunya,... https://t.co/dtZRWUzzeQ"
106,ai a gente sai do escritório e tá um mormaço do carai misturado com uns mosquitos transmissores de zika/dengue/chico/etc e tal
101,Se a presidenta já mudou o nome do mosquito pra mosquito Zica e disse que o ovo transmite a doença! Estamos fudidos e mal pagos kkkkkkkk
112,@douglasjferreir @tweettorcidas esse bicho zica mais do q o mosquito zica
39,"Sabe a zika gente, então, não deixem o mosquito picar vocês"
136,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/HUv7D2s1z8
147,"e a 'zika' não é contagiosa, mas é transmissível pelo mosquito aedes aegypti.  temos o trabalhador do ano, pessoal."
226,-coloco a proteçao de mosquito- cuidado que é zika
3,"Para a médica infectologista Dimentira, ovo do mosquito Aedes aegypti contém o virus da Zica. Vai estuar, governANTA https://t.co/DBUQY6mw5A"
215,E a Zika tá virada na Porra !!!! Bora cuidar.... se não o mosquito pega...
170,'Combate ao VÍRUS do MOSQUITO ZIKA'!!!!!!!!!!  https://t.co/y1PmhXn7cR
54,E a manchete do 'Piauí Herald': 'Mosquito pica Keith Richards e é internado com zika'. https://t.co/EizKJzFOCQ
239,daqui a pouco vão descobrir q todo mundo nasce com zika virus e na realidade o mosquito transmite a cura
58,"Siga a @InsetChaves e conheca nossa empresa, estrategias e participe ativamente conosco do combate ao mosquito da zika.#VemConosco"
76,"sobre a casinha de boneca da minha sobrinha: 'Tia, aqui vou colocar uma placa escrito proibido entrada de mosquitos, e uma foto do zika''"
168,"Thinking Mosquitos? In Colorado, It's West Nile, Not Zika https://t.co/GbfVaVyI8y"
22,PAULADA  THE NEWS: Cinco dicas para se proteger do vírus zica.A relaç... https://t.co/s2SueOXjKM
77,se a alemanha ganhar é so soltar os mosquito zika no vestiario deles
21,"@drangelocarbone distribui onde tem.mais zica ,para espantar mosquito"
173,"Cheguei a conclusão de que todos os mosquitos são zika, porque eles tão me zoando de uma maneira 👌"
186,Quando a picada de mosquito é algo mais | gráfico do @HuffingtonPost por @alissascheller https://t.co/GjP11WYY5k #zika #dengue #malaria
121,Como a tecnologia pode ajudar a combater o mosquito do zika vírus - Isso é Exatas https://t.co/7xsfce74K5
223,"Se a porra do zika vírus se passa pelo beijo , axo meio difícil alguém beijar o mosquito"
102,Lovemaking Technique Zika mosquitos not for media gallery https://t.co/bk4s7wgdxt https://t.co/1ou1fteIy9
202,"@wictorshow nesse caso do zica ai.. tao culpando o mosquito sendo que o culpado ? o governo! Deram vacina vencida sei la, q deu errado..."
