,tweets_VB
139,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
82,ligo a tv  tão falando de zika vírus  troco de canal  tão falando de  mosquito da dengue  coloco no jornal tão falando de  chikungunya
143,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/FdJxaNn70p"
54,'Estudam a possibilidade de mosquitos comuns transmitirem o Zika vírus' gente fudeu
146,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/HMuY3vstVe via @UOLNoticias @UOL
46,Tão a profetizar Zika assim😩. Nós sempre convivemos com mosquitos 😂
135,@carlosaaferreir és lindo ferreira Pareces o mosquito do zika num dia bom
153,"Com a chegada do verão americano, o mosquito do zika vai fazer a festa por lá?"
94,imagina a dilma e o lula jogando os mosquitos da zika por todo o brasil nossa realmente culpa deles
233,E a Guerra contra o Zika continua Baixas atualizadas  148 mosquitos  3 soldados  1 lança fumaça  2raquetes elétricas  560 frascos de Baygon
44,"Se a Dilma for pica pelo mosquito da dengue, zica virus, e chiconguinia acaba os mosquito, porque ele tem sangue ruim e veneno no corpo"
73,"sobre a casinha de boneca da minha sobrinha: 'Tia, aqui vou colocar uma placa escrito proibido entrada de mosquitos, e uma foto do zika''"
138,"do jeito que esse mosquito ta me atacando, vo pegar aql zika virus"
89,do jeito q eu to vendo daqui a pouco o mosquito da zika vai se reproduzir no ar
29,"desculpem a revolta, mas é o cúmulo do ridiculo falar zap ou zapzap, nossa que coisa mais fui picado pelo mosquito zika"
111,"'Com a atual propagação do mosquito da dengue e do zika vírus, é de extrema importância que cada um dos cidadãos de… https://t.co/owgVBB6jV8"
56,Gastei a onda no snap eu mano mosquito da zica
239,"Chegou a hora de combater o mosquito da dengue, zica e cjikungunya. Faça sua parte!... https://t.co/f5AQzGyjir"
228,Sou a favor do governo distribuir bolhas anti contato com o ar que o mosquito do Zika respira pq até isso deve ser contagioso
