,tweets_VBN
219,dai a gente concluiu que a solução era pegar um mosquito zika e jogar neles que eles iam morrer...
215,"Retweeted Blog do Planalto (@blogplanalto):  Dilma: A guerra contra o mosquito transmissor do zika é complexa, pq... https://t.co/5RCGQOyF82"
171,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/HMuY3vstVe via @UOLNoticias @UOL
271,"Ajude a evitar a proliferação do mosquito que provoca o Zika vírus e a Dengue | Obras, Reformas,... https://t.co/AHt0AURxzQ"
110,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/8OAWrQXPxo
272,Quando a presidenta dá uma de bióloga e fala sobre o mosquito transmissor da zica a coisa está feia o.0
71,😮 How mosquitos drink blood. #MosquitoDay #mosquito #Zika #Malaria #insect #nature #wow   https://t.co/A4eph2kRV9
231,Quando a gente quer manter o estilo e se proteger da zika https://t.co/YucSzpFjy1
200,Como a gestante deve se proteger do Zika Vírus? - https://t.co/J4qSHvVS5F Via @_hypenews #Saúde
137,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/to8ZdopEjS
128,"Cadê a Citronela? Leia na https://t.co/kGtI6uBxAo: Mosquito da dengue e zika é 'inimigo nº 1 da saúde',diz ministro. https://t.co/fos9pO8pdP"
83,do jeito que está tendo tanto mosquito aqui em casa eu acho que vou ter zika pela segunda vez.
24,"Retweeted Joaquim Barbosa (@JBarbosa2014):  Perfeito! A 'zika' não é o mosquito! A 'zika' do Brasil, é o PT!... https://t.co/sxE0m1I2zn"
43,"Sabe a zika gente, então, não deixem o mosquito picar vocês"
31,Cadê a Izabella  Teixeira Ministra do Meio Ambiente  está atrás do mosquito Zica  e esqueceu de ver isso? Isso não pode acontecer.
160,"com a quantidade de picada de mosquito que eu to pelo corpo, é bem provável que eu tenha dengue, zica ou chicu"
141,Hope a Zika Mosquito pays him a visit! https://t.co/5v7EYpowKb
249,"Se a pessoa leva picadura do mosquito do zika e ela não tá grávida, o que acontece??"
189,"Cheguei a conclusão de que todos os mosquitos são zika, porque eles tão me zoando de uma maneira 👌"
81,Vei a Renata mandou eu fazer um trabalho do Bag da zika e até agr n vejo nenhum musquito mané
44,"Livre a sua casa do mosquito transmissor da Dengue, Chikungunya e Zika Vírus! https://t.co/fDnOqHVMPB https://t.co/JfQF5QLDKJ"
267,"ZIKA  A situação cada vez fica mais preocupante!  Além da transmissão do vírus da Zika pelo mosquito,... https://t.co/LX9OXRCn9h"
13,"Confira a “Ovillanta”, uma engenhoca simples que promete combater a proliferação dos mosquitos causadores da Zika https://t.co/S1CwvGk2eu"
89,"Retweeted Tuxedo Mosquito (@TuxedoMosquitoC):  Bring Zika-Fighting GMO Mosquitos to Puerto Rico, Says... https://t.co/3MNx9mR36O"
95,Com a quantidade de mosquito que tem no meu trabalho é um MILAGRE eu ainda não ter pego Zika. Nem Dengue. Nem Chikungunya.
235,"Com a diminuição, quase fim, do jornal impresso é óbvio que aumenta a quantidade de mosquitos. Era a melhor arma... #AedesIsBack #ZikaVirus"
108,"Retweeted Reuters Brasil (@ReutersBrazil):  Mosquitos adultos podem repassar Zika para sua prole, diz estudo nos... https://t.co/e7w50sseTp"
49,Retweeted Governo de S. Paulo (@governosp):  #Aedesaegypti Combate ao mosquito da #dengue e Zika Vírus começa em... https://t.co/99rbg206L7
