,tweets_pronouns
2478,"dps dessa coisa de zika, dengue e chikungunya todo mosquito q eu mato eu fico olhando o cadáver p ver se n é aedes"
4135,"Zika maldita, me larga. Agora vou deixa os mosquitos doentes também, fizeram cmg vão sofrer. háhaha 🤒🤒😔😔😭"
4702,O bagulho tá tão sério com essa parada de zika que eu não aguento ver um mosquito que so fico em paz quando assassina-lo
717,"Esses mosquitos fdp mano, se eu ficar com zica já sabem"
5056,todo mosquito q me pica eu ja fico MEU DEUS DENGUE CHIKUNGUNHA ZIKA VIRUS AIDS GRIPE RESFRIADO MORTE COMA DOR
3134,"To com Dengue, ou talvez Zika, sei lá. Seja o que for: a culpa é dos milhões de mosquitos que vivem na minha casa"
3574,um mosquito me mordeu na perna  orando P que não seja zika vírus ou dengue  mds eu tenho muito medo desses negócio
626,E É UM FILME SOBRE ZIKA VÍRUS MEU VEM CAGUEI PRA ZIKA VÍRUS SE EU PEGAR PEGUEI MORRI JÁ ERA to mijando pra esse mosquito
4543,eu queria saber de onde surge tanto mosquito nesse quarto e do nada SAI DAQUI ZIKA NAO T QUERO MAIS
4281,meu pai aboliu a expressão 'mosquito da dengue' e agora chama de 'mosquito da zika' #zikazero
4376,"o meu foco e na zika, mosquito pra nois e lixo..."
1244,Todo mosquito que me pica eu já acho que é zika virus KKKKKKK
2627,O amor é forte. Mas quem me derrubou na cama foi o mosquito da #Zika.
3597,enquanto isso a Búlgara em seus discursos'É o ovo do mosquito que transmite a doença.....ou 'agora o nosso foco é o mosquito Zika' Tá foda!!
3176,as chinesa com o mosquiteiro na cama pra n pega zika  nois entra em festa sem ser convidado vc acha q os nosso mosquito n entra nisso?
4869,Quando fala zika vírus eu imagino um mosquito de juliet
3984,"Os mosquitos me amam muito! Não sei como ainda não peguei dengue, zika, chikungunya e todas essas coisas rs"
173,Sou tão foda que o Mosquito da Dengue me picou quem pegou Zika Vírus foi ele ! 😎✌🏾️😂
2790,só espero q esses mosquito q tão me picando não tenham as zica lá pq tenho mt prova pra fazer n posso ir pra hospital morrer no corredor
3757,"Um mosquito me pica, já acho que é o zica vírus, chicogunha, gripe suína"
2633,"Zika vírus, acho q se eu fosse o mosquito causador da doença ate pararia de espalhar ela por vergonha do nome que deram"
1619,To cheia de picada de mosquito eu to é fudida com esses pernilongo vou pegar zica vírus
4478,'Zika vírus' eu fico imaginando um mosquito de boné e correntão de ouro picando a galera fazendo pose de thug life.
3936,Acho que uns 20 mosquito me mordeu pra ter tanta zika assim em mim
