,tweets_pronouns
1445,"@dudanovaes_ @buenojuu_  KKKKKKK zika pra mim é só mosquito, e oque a gente faz com mosquito ? MATA"
3952,só os mosquito da zica me pegando aqui
771,"minha teoria da conspiração é: governo reproduz os mosquitos da dengue e zika para matar, assim, diminuir a população pobre"
5274,chega um mosquito ja pica eu penso logo merda zika virus
3425,"Uma mosquito acabou de me picar ba facul, será q vou ter zika 😰"
352,me apaixonei por um mosquito zika  #VemCarnavalNoClubeSDV
119,"Eu vi vários vídeos sobre esse Zika virus que tem muita semelhança com dengue tals, e eu não sei como eu nunca tive isso. Mosquitos me amam"
977,"Tem uns mosquitos aqui na sala de casa que tá me dando medo, pois vai saber se não é mosquito dengue zika chikungunya!!???!"
415,Bom dia. Eita a Zica vírus  me pegou. Eita mosquito da dengue aonde vc me picou????rsrs Que sintomas ruins!!!! http://t.co/Sgke2LqpvM
5172,Eu com suspeita de Zica vírus.  Ai gente não é bom não vamos prestar mais atenção e combater esse mosquito. https://t.co/vwSp3Pncv8
884,"Se um dia o mosquito da zika me morder não sou eu que vou pegar zika, ele que vai pegar FERA"
3750,qualquer mosquito que me pique eu ja fico noiado pensando que é zika
4994,"Se fosse crime matar mosquito da zika virus mlk, eu já ganhava pena de morte"
3624,"tem um mosquito aqui, acho que ele quer me passar zica .."
1531,@lucasmagagnin migo eu vou revoluciona sssa merda vo ate resolve o mosquito zika como diz Dilma
4090,"Procurando o mosquito responsável por essa 'zika' na minha vida, pra matá-lo. Pq assim não dá. https://t.co/i073I12H8B"
765,Toda vez que falam zica vírus na TV eu imagino um mosquito vida loka eu tenho problema
826,@LaurinhaLima2 primeira vez que eu ouvi falar disso logo imaginei um mosquito zika kkkkkkkkkkkkkkk
5980,NA LUTA CONTRA O ZIKA: Não podemos perder para um mosquito! Todos juntos podemos por um fim nos focos de... https://t.co/HeJi3ljijr
4843,essas reportagens sobre zika so me lembram que pela ufma ta cheio de focos do mosquito.
2539,"Tem um mosquito me rodeando... queria saber se é dengue, zika ou chicungunha."
229,"acabei de matar um mosquito aqui e parecia ser zika vírus, sei la as vezes eu sinto que to carregando esse país nas costas."
4566,"'zica pode ser transmitido por relação sexual'  então, as maiores chances de eu pegar são mesmo pelo mosquito"
2245,"vários mosquitos me morderam hoje, rezem pra que não seja o zika porque se não fodeu minha gente"
5557,se esse negocio de que roupa preta atrai o mosquito da zika é vdd eu to é fodida
471,"Eu me sinto um estúpido...um mosquito, uma dengue, uma zica!.... Uma recusa, uma recusa uma recusa, uma recusa!!!!!"
1507,Agr cientistas já estão infectando mosquitos 'normais' com zica. Oq me faz acreditar que isso não foi daquela vez que soltaram aqueles +
4063,'mosquito-ostentacao' 'zika' desculpa eu ri https://t.co/5cNLNj0KYO
5066,To tao paranóica com um zika virus que um mosquito me mordeu e eu já to toda cagada
288,"Minha mãe ta com medo de eu pegar zica ou dengue de tanto mosquito kkkkkkk, tão lindinha ela preocupada"
1740,esse ano eu tenho certeza q pego dengue zika ou chico cunha pq tem mt mosquito lá
1623,Mosquito da dengue o crlh meu nome agora É zika
2892,"Segundo nossa presidente, tomem cuidado com o Mosquito Zika."
2984,"Eu to com um toc de mosquito, fico passando repelente e mate inseto o tempo todo, deuzolivre pegar um zika e passar p @"
2125,Mosquito transgênico: jogar os insetos nos ecossistemas não resolve casos de zika e dengue. Entrevista especial com Silvia Ribeiro …
1364,Acho q o mosquito da zica me picoTA REPREENDIDO EUHEIM TA MARRADO SAI P LA
1542,"Fui pra um lugar hoje que fui devorado por mosquitos, agora to me cagando de pegar chikungunya, Zika, Dengue e afins... :c"
2980,Acho que caiu um mosquito com zika na nossa bebida do fim de semana pq ja eh segunda e tá todo mundo doente
