,tweets_VERB
3579,"Descobriram que o Zica vírus, não depende só do mosquito, para contaminar outras pessoas. Com o Carnaval cheio de turistas,  fú!"
1350,"Tem um mosquito me rodeando aqui, já me estapiei toda com medo que seja o zika😂"
3026,'E esse site cheio de mosquito?' 'Deve ser por isso que esse horário tá uma zika' nessas horas eu amo a faculdade
2834,"Mata inseto elétrico ClearPassage.  Elimina o mosquito da dengue, zika, chikungunya, malária… https://t.co/15RNlFXcGA"
2823,tinha tanto mosquito no meu quarto nessa noite que se eu não peguei zica\chikungunya é porque sou imune ao vírus o governo vai me estudar
3620,Faça você mesmo: vela de citronela que espanta mosquitos https://t.co/mFxTyC6OjU jeito natural de espantar a zika e outras mazelas picadoras
501,odeio esses mosquitos cheios de zika e dengue esperam que morram todos obrigada
2418,Matei um mosquito e não era zika \o/
1474,"@nunnotario cuidado pra não entrar mosquito. olha, otima pergunta @DulceMaria pernilongos ou zika?"
1681,"Imagina só, que lindo seria, se toda essa galera se juntasse pra acabar com os focos de mosquito transm. da dengue/zika?"
1724,@september4 dige nada cuidado não depois ce não reclama quando os mosquito da zica te pegar
3592,Gostei de um vídeo @YouTube de @pirulla25 https://t.co/ZzhfqnYIk2 #Zika: Água parada pra combater mosquito??? (#Pirula 125)
751,"Anunciamos ontem o plano federal de combate ao Aedes aegypti, mosquito transmissor da dengue, da febre chikungunya e da zika."
80,Tem tanto mosquito aonde eu tô que daqui a pouco tô com zika.
1798,"@acordouacordou Vamos pegar mlhões d mosquito d dengue soltar na casa dele p ver s ele morre d zika, assimn como ele matou a nossa esperança"
3225,"Fique atento aos sintomas das doenças transmitidas pelo mosquito Aedes aegypti. Zika, dengue e Chikungunya causam... https://t.co/yI4YVfND6v"
1927,to o mosquito que eu olho eu fico achando que é o zika vírus! socorro!
211,Tive muita sorte em ter pegado zika bem antes dessas sorncas locas que tão aparecendo aí por causa do mosquito
1339,"Odeio ver q to com mordida de mosquito, já acho q vou ficar com zika"
2955,Quero saber quando o governo vai combater a prolifera??o das duplas sertanejas. Elas nascem na mesma velocidade que o mosquito da zika.
1254,Sabe o que é Zica vírus né?  Sei um mosquito  morriiiiii kkkkkkkk 😂😂😂😂😂 so vc mesmo @_baahcarolis
1939,Solicite seu orçamento! (12) 3413-6878  #HRControledePragas #HR #Dengue #zikavirus #zika #chikungunya #mosquito https://t.co/eOHvHXWise
3228,Será que nosso mosquito e o mais pika? Após milhares de casos de infecção do Zika vírus ocorridos na Colômbia e... https://t.co/BqhlfFeob9
2944,Entenda a tecnologia radioativa que promete conter o mosquito da zika https://t.co/PIXWlPEI01 via @bol
2548,fala pra vcs que esse mosquito Zika me picou há 25 anos atras
1799,Do que adianta fazer um tinder de zika vírus se o mosquito VOA????
1402,Parece que qualquer mosquito pode ser o zika vairus
3618,Saiba como a gestante deve se proteger do Zika Vírus https://t.co/oIskPV1ptV
265,Gostei de um vídeo @YouTube https://t.co/RslQ3Kp4Qj CASEIRO PARA MOSQUITO DA DENGUE CHIKUNGUNYA E ZIKA!
2806,"Tem um novo vírus chamado Zika. Você é picado pelo mosquito, sai mandando o Passinho do Romano e ostentando o que não tem."
2078,Grávidas: Veja cinco dicas para se proteger do vírus zika https://t.co/2IzTVWPzU5 via @UOLNoticias @UOL
775,"Imagina se a dengue,chikungunya e o zika fossem doenças DST's entre os mosquitos, aí o aedis egypt ia fazer sexo com os pernilongos normais"
2261,"Mata inseto elétrico ClearPassage. Elimina o mosquito da dengue, zika, chikungunya, malária… https://t.co/cPGNdYDxAG"
1801,Tentar impedir o terrorismo dialogando com os extremistas islâmicos é como tentar impedir a Zika dialogando com o mosquito transmissor
2195,Achei que tinha cido um mosquito Zika Virus
404,Aprenda a fazer repelente que afasta mosquito da dengue e zika https://t.co/AmH0pGIxC1
2326,"Colabore na eliminação diária de 'berços' de mosquitos Agentes contra a #Dengue, #Chikungunya e #Zika Vírus estão no Guanabara.Neb:Arco Íris"
3447,Grávidas: Veja cinco dicas para se proteger do vírus zika https://t.co/7VPQN4bEu8 https://t.co/xdXVMRsYVX
2716,@diogomainardi  E AI GENTE RECEBEU O PANFLETO DA ZICA? SE... ENROLE E VÁ MATAR OS MOSQUITOS NO TAPA
151,Gostei de um vídeo @YouTube de @bobyyfera https://t.co/kfUK09KcWg O MOSQUITO DA ZIKA ME PEGOU
1498,Acho q o q eu tenho é zica mais não do mosquito. --'
1399,"falando em Deus, hoje no BRT uma mulher dizia que a zika não é transmitida por nenhum mosquito. é na vdd a fúria de Deus"
772,Gostei de um vídeo @YouTube de @pirulla25 https://t.co/ShpP2NSlEQ #Zika: Água parada pra combater mosquito??? (#Pirula 125)
