,tweets_VERB
640,Reportan 10 casos más de zika en Florida; podrían ser por picadura de mosquitos locales https://t.co/PMfPqT6SIX
1138,Buscarán proteger a mujeres embarazadas del Zika https://t.co/G1Oley87sZ https://t.co/9oMSZs1T9a
2178,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/awVZk8GwQ8
5012,Estudian plantas carnívoras contra mosquito del zika en Argentina https://t.co/0jNzFFA905
559,Informando sobre como protegernos del ZIKA https://t.co/aRlMJFSrMy
5450,Evita contraer #Zika y otros males alejando a los mosquitos con: https://t.co/moCzWzSzu7 https://t.co/25Kuwsw1TH https://t.co/JfJ3bh898s
897,Confirman la presencia de mosquitos portadores de zika en Miami https://t.co/XEvLXc5UQ0
1162,"Sigue estos consejos y acaba con los criaderos del mosquito del Zika, Dengue y Chikungunya #TodosSomosBrigadistas https://t.co/YISzFJhv6p"
5922,@veraalcivard Te invitamos a conocer nuestra página para tener más información del zika https://t.co/qPPzXr1jH5 #MoscaConLosMosquitos
804,@Abriendo_Brecha todos contra el mosquito del Zika. Formenos parte de estos operativos empezando por nuestra casa
3601,Erradicar mosquitos que propagan Zika en Miami es “una tarea difícil” (+fotos)  https://t.co/deYe1vJTc4 #Wynwood #Florida #EEUU #ZikaMiami
3710,abrí la ventana me picaron 73 mosquitos andá a saber si entre tantos el dengue o el zika ya me veo muerta
1119,"Evitemos el Zika, el Dengue y la Chikunguya. Eliminemos los criaderos de mosquitos para frenar estas enfermedades https://t.co/v1S0WNnyo2"
662,Fumiga tu hogar y evita el contagio de Zika y Dengue #MoscaConLosMosquitos https://t.co/Yz3Oug5EJN https://t.co/4Im9mxd9ke
6730,Estudian en China uso de mosquitos infectados con zica contra virus https://t.co/UbKEIHZ9EW
491,"Erradicar al mosquito de zika en Brasil, una meta improbable https://t.co/k7eP0l8gz4"
3399,Conoce cómo protegerte del zika en la programación de AYRE1 https://t.co/kKZSneatP2
2142,"Evita enfermedades transmitidas por mosquitos, di no al  #zika #chikungunya y #dengue https://t.co/wakXv4PeBi"
752,Aleja al mosquito que transmite #chikungunya #dengue y #zika usando repelentes  https://t.co/mUpq6sYSij https://t.co/T3QQxKnIrH
4316,"Esperaban hacerse de oro con el Zika pero...  Dificultades para Oxitec, la empresa de los mosquitos transgénicos https://t.co/INdj3kIJjI"
1374,Controlar a los mosquitos para detener el virus del Zika https://t.co/WK2BXjVL9o
1223,Hallan presencia del virus del Zika en mosquitos comunes en Brasil https://t.co/rYsQebQdUs #NoticiaSiguiente #28Jul #FelizJueves
4616,"Evita enfermedades transmitidas por mosquitos, di no al  #zika #chikungunya y #dengue https://t.co/NRoDCYuenN"
3790,#aceras rotas criaderos de mosquitos #Zika y #dengue #ptaPca @MINSA_Panama @BlandonJose @AAUD_Panama a controlarlo https://t.co/02XcR9dszT
3256,Controlar los mosquitos para detener el Zika https://t.co/RFVI7aMcgV https://t.co/zCmirBZ2Mr
2489,"Detectan mosquito Aedes en Chile, hay riesgo de zika: Todo indica que el mosquito entró a territorio chileno p... https://t.co/Xlrvidmvsj"
4003,"Ve este vídeo 30 seg de @CDCgov para saber cómo protegerte, a tu familia y a tu comunidad del #ZikaVirus #VirusZika https://t.co/nf1UBH9uTe"
1907,Aleja a toda clasede mosquitos y prevén #Chikungunya #zika #dengue https://t.co/0Ly4PNPFIg https://t.co/vKrfr9elt9 https://t.co/36jDV7vmr4
3984,"#noticias #salud EEUU: Casos de zika contraídos por mosquito aumentaría a 14: WYNWOOD, Florida, EE.UU. (AP) —... https://t.co/GlR9tZEaCH"
3291,"Quieres tener un BB o familiar retrasado y de pequeña cabeza? NO verdad, entonces ataquemos al ZIKA destruyendo los criaderos de mosquitos."
2086,Llega a Chile mosquito que transmite el zika https://t.co/HwSqpZxdST
3692,Combatir el zika con mosquitos mutantes https://t.co/gTkeIh0UaF
2507,"Detectan mosquito Aedes en #Chile, hay riesgo de #zika     https://t.co/K8hbI426Uy https://t.co/ASC8OTqfsJ"
5089,“Combatir el zika tratando solo de erradicar al mosquito no funcionará” https://t.co/9Eij3FLIRz vía el_pais
836,Hallan larvas del mosquito transmisor del zika en  poblado de Camarones https://t.co/s5neSJYlU3 vía @emol
2601,Conozca las recomendaciones básicas para protegerse del zika https://t.co/inwY8ohPBJ
5039,Miren la radiografía del azaroso mosquito del zika. https://t.co/sNgKrSo8SI
1800,"Tenemos la obligación de evitar la proliferación mosquitos transmisores del Dengue, la Chikungunya y el virus Zika (alerta epidemiológica)"
6602,"Necesito dormir Y ME ACABA DE PICAR UN MOSQUITO, ojalá no sea el zika por que zikagué."
3530,Evite la picadura con ropa que cubran sea posible y elimine depósito de cría de mosquitos #Virus #CasonitaTips #Zika https://t.co/XGxcB63Fw0
5560,"Confirma @SSDurango que #Durango está libre de casos del virus del Zika, sin embargo el mosquito transmisor se ubica en 20 municipios."
1995,Crean en #Chile un repelente para el mosquito portador del virus #Zika https://t.co/teEpkhaErx https://t.co/GzdLmYMNqW
2893,"Salio la 2da parte de 5 pe pal vino. Que ganas de que me piquen 11 mosquitos y me dejen zika, dengue, chikungunya, fiebre amarilla y ebola"
6776,#vamospormas #erradicar #criaderos #mosquito #zikavirus #dengue #chikungunya #prevenir #salud #privadosdelibertadRD https://t.co/RxMtgF2OyM
5649,Atribuyen virus del Zika a mosquitos modificados genéticamente por compañía británica Oxitec https://t.co/h1pNebpHoZ https://t.co/kzn5hQ9VFX
3220,Empieza la Temporada de Mosquitos en #USA y crece el temor al #Zika. https://t.co/IaGI9CRwBo
2472,Encuentran en Chile mosquito que transmite virus del Zika – LaTercera (Registro) https://t.co/7PeyipFhrV
5589,"Evita La Picadura De Mosquito, Cuidate Del Zika, Usando Este Repelente Casero “No Toxico” -... https://t.co/SvVNvIYOLG"
