,tweets_VBP
126,Have you seen a million mosquitos? How many of those are aedes &amp; perhaps Zika carrier?  Check out this Mosquito... https://t.co/1A8rITJGDw
408,Don't blame sports for #Zika's spread: Tahitian team plays in Recife “is a great story but who knows if it's true.” https://t.co/gPHApL3gM9
706,"Don't wait for virus to spread, #HRProfessionals &amp; employers take action now to better prepare for #Zika https://t.co/2vb6VugsWt"
45,Don't have #surgery or make babies or have #sex. #Zika now said to infect the blood and spread via #sexual contact https://t.co/CuuaVxUbjq
683,Have all these politically appointed pinheads been bitten by zika mosquitos? REALLY #fed #economics #incompetence  https://t.co/bede7lwsuy
675,DON'T TALK ABOUT G-4  SAY NO TO THE ZICA
321,"Don't you wish they would spend some of that #HillaryHateFest money on say, ZIKA??? https://t.co/HybVqHuF0B"
55,Don't wanna go inside .. But mosquitoes and zika.. Nerp
526,"Don't shun Florida over Zika, officials say https://t.co/JVuycHfdI3"
419,"Don't give into the scam, these products won't protect you from the Zika virus   https://t.co/Dw8dgbFMCO"
747,Don't have surgery or make babies or have sex... Zika now said to infect the blood supply and spread via sex https://t.co/gxRr24YIYR
85,Don't buy any product from the state of #SouthCarolina  simply because they carelessly killed off millions of bees for a fake #ZikaVirus
444,Don't think it's a good idea to promote the Zika virus in the #OpeningCeremony #Rio2016 https://t.co/BWpjKuXjdO
443,Are the microorganisms in the performance ment to show how the zika virus was spread or something #OpeningCeremony
171,"Have you traveled to a country that has #ZikaVirus? If so, learn how to protect you &amp; your partner upon your return https://t.co/XWrbYiO5J0"
657,Don't bug her. Hope Solo tweets how she'll protect herself from the Zika virus in Rio  https://t.co/jhogzOEjen
690,Don't blame Mr. Mosquito for the spread of the #Zika virus.  Find out why in this free download: https://t.co/ZlDr1YVUAI
398,Do you have a swimming pool? Are you using it to breed #Zika-carrying #mosquitoes?! https://t.co/3ij1bNw1ZK https://t.co/YbGLpygl0x
335,Don't get scammed. There is no 'Zika approved bug spray.' Any EPA approved bug spray will work. It doesn't hurt... https://t.co/9hHJzlMcHX
221,Don't need an alarm clock when your bladder full of red wine and you got the Zika virus mosquitos.
124,Don't forget your condoms and bug spray.  https://t.co/NJxGOpikAs
486,Didn't they say the same think in Brazil???  #zika #science https://t.co/S6pJnJNDCD
250,"Don't teach women to take precautions against contracting the zika virus, teach mosquitos not to mosquito. https://t.co/LQsF1628BB"
463,Don't forget Avon Skin So Soft is an insect repellent https://t.co/F8wQ45Kv1l #DelawareBlogger #ZikaVirus #Rio
473,Have you heard ‘MC TONY - DEU ZICA- O MOSQUITO PIKAAAAA’ by Sylvio D'avila on #SoundCloud? #np https://t.co/LZ0l3trSTo
565,"Don't kill spiders, they have a purpose too. Save yo ass from them Zika mosquitos and whatever other disease they may be carrying."
21,Don't you love it when people release untested GM mosquitos into the environment (: #ZikaVirus
145,"Don't panic yet, there is a study that seems to link birth defects to chemical used to combat mosquitoes #Zika https://t.co/rTcIrS6rS8"
180,Want to hear what a virologist has to say about #Zika? Check out this radio show: https://t.co/vfD8doagig
691,"Ain't it fun, Bubba and Gomer of @PrayerPeace the assholes of #Florida actually say #Zika is only a 1 mile 'region' hahahhajajajja"
682,Don't be 1 of 'those' guys giving Zika-laced roses on Valentine's Day. Be sure the roses you give are sprayed w/DDT. https://t.co/Tmb207CzjI
396,Don't forget to protect your pets from the Zika virus 💛 it is contractable through pets and may also affect pups #ZikaVirus #dogsoftwitter
705,Don't know what to say when it comes to Millennials? Well avoid these 7 words like the Zika Virus. https://t.co/ofveT5LYkV #Millennials...
94,Don't let the Zika Virus infect your family. Get a proven mosquito trap that works @ https://t.co/7as6TsNb4T
542,"Don't shun Florida over Zika, officials say: Four Miami-area patients tested positive for the virus, but the ... https://t.co/cBWvHraoN5"
708,Don't have surgery or make babies or have sex... Zika now said to infect the blood supply and spread via sexual... https://t.co/ETIDDBpXtl
264,DON'T WORRY U WON'T B ONLY ONE-RIO WILL CARRY IT AROUND WORLD!Zika-Carrying Mosquito BringsYellowFeverEpidemic2Congo https://t.co/t36r6SCWkb
239,Have Scientists Discovered a Possible Way to Stop Zika Virus in Its Tracks?: Scientists say they've identified a… https://t.co/JYZEv9sX42
768,Do you think the Zika is caused by only a mosquito and What you think about the Zika virus https://t.co/vBimdBA7s1 https://t.co/ALpuoSOCuk
711,Don't have surgery or make babies or have sex... Zika now said to infect the blood supply and spread via sexual... https://t.co/RoFOkYW7Yc
283,"Don't understand why melo is going to Brazil this summer,  Let's pray for his health on and off the court! #ZikaVirus #Get some rest"
