,tweets_VBG
7553,Stopping the spread of Zika virus in the U.S. @CNNI https://t.co/F6LOFACBYc
4901,Stopping Zika: Playing Darwin with mosquito DNA https://t.co/Hs99OYPiPU
3460,Trending on Soualiga Newsday… NEWS…https://t.co/9zpkkKsIuO…First Confirmed Case of Zika Mosquito Virus Disease
3418,Enlisting Mosquitoes to Fight Zika https://t.co/8nst2pBJJq
3730,Talking to local doctors about Zika virus. It's not transmitted from person/person. But by mosquitoes. https://t.co/pFMueA17pV
4566,Flooding might increase mosquitoes and Zika risk in Louisiana https://t.co/FU4AOo5zEw via @usatoday
2020,"seeing as the 2011 effort #failed , why use more? The #Zika DID spread which means the science was wrong.  https://t.co/Kew9AbrTc2"
6516,"Following U.S. Zika Outbreak, Platinum Mosquito Protection Now... - https://t.co/6aoW1zKtgd https://t.co/CdAviGZM7y"
6640,Something at the airport smells like bug spray. Hallucination or overzealous Zika prevention?
515,Predicting the spread of the Zika virus https://t.co/0JcbiqAbhB https://t.co/4RfPBZfCIo
4009,Fighting a #Zika monster: Why the Aedes aegypti mosquito is so hard to control https://t.co/rjftdbPSvM https://t.co/O2hLeGKeVj
426,Delaying the Olympics wasn't on the table but would've been the best move 2 prevent spread o #ZikaVirus globally https://t.co/PmncqGZPVu
5374,Going through #ZikaVirus/#Zika threads...a depressing amount of people (including the CDC) use wrong mosquitoes in pictures.
6447,Raiding heating oil subsidies for poor folks &amp; opioid addiction programs to pay for Zika. Really? https://t.co/KJgXa7l0Iv
6208,"Volunteering for infection in hunt for dengue, Zika vaccines: Forget mosquito bites. Volunteers let researcher... https://t.co/iGTDzi5BNd"
7945,"Predicting the spread of the Zika virus: The Zika virus was first found in Uganda in 1947, and then detected ... https://t.co/mAr2h9YWGW"
6056,Protecting babies from Zika #dr https://t.co/Y9QYvqHhZJ
4951,Protecting yourself against the Zika virus https://t.co/yqAFjmS7Gd via @FOX61News
2270,Saving bats will have cascading effects. cure white nose syndrome. save the bats... decrease mosquitoes. stop  zika… https://t.co/lywwiaS6XG
