,tweets_VBP
2187,Break out the bug spray if you're in Miami: https://t.co/4g6w0syrcg
3237,Protect yourself from Zika - Check out our latest entry on our Nutritional blog. https://t.co/maTyWvAgW8 https://t.co/tga96hcMVi
281,"Find out what effects the Zika virus has on pregnancy, and learn how to protect yourself: https://t.co/KjaSxaQNS7"
3453,Don't forget to wear protection! The History of Humanity’s Bloody War Against the #Mosquito https://t.co/oW2feSq2DB via @WIRED #Zika
1691,"Protect your health, read the label. #Zika #ZikaVirus https://t.co/382pRscCYM"
1429,Protect yourself and your family from mosquito bites that can make you sick. #Zika https://t.co/wkz68FzxUw https://t.co/OVTOfHhTaY
3765,Do you think I look cute?   #mosquitoes #ZikaVirus https://t.co/24LxwqiCWP
3068,Do a good deed for elderly neighbor  Get four mosquito bites  looks like im getting zika RIP me
3585,Take some simple steps to protect yourself from the #Zika virus. https://t.co/RqoKBUNqxt https://t.co/toFDcBB7wy
4144,Break out the bug spray. County health director expects localized Zika in the #RGV | https://t.co/jX058p3CZp via… https://t.co/7r7a08HIDG
4038,remember fighting #BokoHaram #islamicbarbarism must be same as Zika! Select only infected mosquito's &amp; apply rights https://t.co/irehiCN14b
2473,Don't hold your breath for a #Zika vaccine within 10 yrs says @henryimiller: focus on zapping mosquitos https://t.co/TXrvGk3qPj via @WSJ
3097,"Let them eat cake...and have two cans of insect repellant, but NO contraception or abortion access! #Texas #Zika https://t.co/ulUl6FizMe"
2237,Catch up on my chat with @lt_chill on @ABC_NewsRadio about the risks and threats of the mosquito-borne #Zika virus  https://t.co/Xwo9T6AS9H
4211,Meet the unusually aggressive mosquitoes carrying Zika... https://t.co/ddkfCVXwQD
426,Check out this research on most effective #mosquito repellents. https://t.co/ntBEQoXk7R #outdoors #zikavirus https://t.co/YkC8sUlwg7
1404,Update The Zika carting mosquitos are NOT in Amarillo. A person went to a country where they contracted the virus and returned to Amarillo
307,Check out this fascinating @nytimes piece on the 6 most dangerous types of mosquitos in #America.  https://t.co/NtJNnqBbyH
524,THERES A MOSQUITO ANS ISK WHERE IT WENT I DONT WANT FUCKIN ZIKA BIT H
361,Please protect your family by doing what you can to prevent the Zika virus from spreading. 1) always use insect... https://t.co/i3YFlymKL7
3371,Let's keep working together to protect our community #doral #zika #together #letsmakeadifference… https://t.co/Dtf04gSd5y
4184,Don't be a Mary. (or her hysterical friend)  #zika #repellent https://t.co/g6gpbDax2w
3083,Join the discussion at Lucid Awakenings!  Deadly Chemicals Sprayed On Florida Residents To Eliminate Zika https://t.co/fN9POvq9vR #news
2535,make sure y'all put on some repellent. zika virus hitting the states.
3628,Learn how to protect yourself from #ZikaVirus at a free symposium at UC Davis. #FightTheBite #contagion https://t.co/DgKXHRhUqq
2012,Think about all the vectors before spring break! #ZikaVirus #mosquitoes #OSUvetent16 https://t.co/Vlsz5MqOW7
2947,"Know your mosquitoes so you can avoid them. Yes, pets are at risk too. https://t.co/pSbAeT1EoD #mosquitoes https://t.co/yRt5BMvXEW"
877,Watch how mosquitoes spread Zika in HD https://t.co/YUm0blL8Yz
4041,Protect Yourself Against the Zika Virus with Homemade Essential-Oil Mosquito Spray https://t.co/uYvObMuPf8 #Hijau #Berkebun #Asia #Indones…
