,tweets_VBG
10877,"Protect yourself from #Zika BuggSpray #InsectRepellent for Flies, #Mosquitoes, and Ticks 4 fl oz. U... https://t.co/wT5GwXCtOu via @amazon"
3932,Watch how Microsoft created a hi-tech mosquito trap to help combat diseases like the Zika virus. https://t.co/hDkQoA8FV1
6476,running from that mosquito .. no Zika virus for Nell ✊😎
4125,Welcome to our Zika Protection page! #stopzika
8989,"according to the WHO, #ZikaVirus is likely to spread to every country in the Americas, except Canada and Chile, which lack Aedes mosquitoes."
10092,Releasing millions of GM mosquitoes 'could solve zika crisis': Releasing GM mosquitoes in Brazil has seen popu... https://t.co/7ayyDTK8Ll
10107,"Releasing millions of GM mosquitoes ‘could solve zika crisis’ , but I thought I they started it in the first place https://t.co/A9OfQuZSqU"
3715,"Reading a Zika article only to have a mosquito land on my phone. Needless to say, it was eliminated quickly #irony"
5397,"Fighting Zika a 'personal responsibility,' former surgeon general says https://t.co/m6xyw9t3Xq #mosquitoes #vectors"
6523,Have a bite-free summer! #prevention #ZikaVirus #mosquitoes #healthandwellness https://t.co/yI7UREmRJP
4535,Let's get behind these #bat houses to help kill #mosquitoes that carry the #zika virus. Please retweet &amp; help out. https://t.co/ORdUXiVdAz
1855,Fascinating approach to stopping Zika. Use the mosquito to stop the spread https://t.co/fFKIy23oPu
1313,Preventing mosquito bites when you travel is the best way to avoid #Zika. No known cases in #AZ. https://t.co/PbXovkTiNK
2742,"Preventing harm to babies outranks church canon, the @Pontifex gets it. Safe sex matters. #ZikaVirus is not just mosquito-bourne it's an STD"
1102,Stay away? #Zika: Experts Fear '#Mosquitos out the Yin Yang' in #Florida https://t.co/pNSRQRIPrI
8684,Fighting Zika in the US: The Battle Over GMO Mosquitoes - How a Florida Keys island could change the way we fig... https://t.co/Z1KodEElAO
5504,Watching the news reports about #zika in Miami. Suddenly my mosquito bites became itchier. #feelingparanoid
9423,Disturbing links to the #ZikaVirus and GM Mosquitoes  ===&gt;&gt; https://t.co/jgYAdE9P2F
4644,Enlisting Mosquitoes to Fight Zika https://t.co/MdU5S6AlRR +1 @micshasan #public #health
6273,Protecting against Zika
1245,Controlling Zika mosquitoes may be 'lost cause' - https://t.co/x1LWtCSf7j https://t.co/WJTxJaWbAy #health
909,"Devouring 1,000 Mosquitoes an Hour, Bats Are Now Welcome Guests as Zika Fears Rise, via @nytimes #bats #zika  https://t.co/DepW4ImBWF"
5642,Protect yourself and your home from mosquitos with these tips! https://t.co/Dbpb8YExUL #pestcontrol #mosquitos #zika
1536,"Devouring 1,000 Mosquitoes an Hour, Bats Are Now Welcome Guests as Zika Fears Rise https://t.co/qZwnbiQKyO."
