,tweets_VERB
54,Afasta até mosquito da dengue e zika! 😂 https://t.co/cFwHE5Ikk7
55,"Compartilhe e ajude no combate ao mosquito transmissor da zika vírus, dengue e chikungunya! https://t.co/3An0Ia9MKR"
56,"Mata inseto elétrico ClearPassage.  Elimina o mosquito da dengue, zika, chikungunya, malária… https://t.co/ouL1zPDLy8"
57,"Adicionei um vídeo a uma playlist @YouTube https://t.co/yrqn7UXjhT fazer um repelente caseiro contra o mosquito da Dengue, Zika"
58,Olha o que ela disse: 'Porque o mosquito transmite essa doença ( Zika vírus ) porque ele coloca um ovo. Esse ovo... https://t.co/XbAYcrP5IU
59,Gostei de um vídeo @YouTube de @talvanesaraujo https://t.co/jTvgteIHmo MosquitoTransgênico - Zika e Microcefalia - Qual a Relação?
60,Quer dizer que quem não é gestante pode ser picado a vontade e contrair o zika vírus? Tem que combater é oi mosquito https://t.co/1J735vDR6T
61,"Entendendo sobre a doença do mosquito, 'Zica' Com vocês, quem entende do assunto: https://t.co/AEMlRTAf00"
62,Gostei de um vídeo @YouTube https://t.co/REK7Qc8QxR VERDADE SOBRE A FARSA DO ZIKA VÍRUS TRANSMITIDO PELO MOSQUITO DA DENGUE
63,"espero q esses, mosquitos q estam me picando n tenham Zica... 👀"
64,"acho que fui picado pelo mosquito do zika vírus, to ouvindo uns funk bolado, comprei uns bonés, camisa xl"
65,Testando o novo mata mosquito da zica https://t.co/6DtoM8tQor
66,Conheço vários leks que já são zica bem antes do mosquito transmitir isso. 👌
67,"Chocada com discurso da nossa Presidenta, que disse que o vírus da Zika se transmite através do ovo contaminado do mosquito. Piada??"
68,hj no bom dia brasil basicamente a miriam leitão disse q o brasil tem q superar a crise política e a inflação pra focar no mosquito da zika
69,"Passando só pra relembrar sobre o zica.. Mamães grávidas e crianças até 7 anos, se protejam dos mosquitos, e previnam em suas casas.. 🖖🏽󾌣☺️"
70,"acho que aquele mosquito, o zika vírus me picou, porque eu to muito Z1K4"
71,CARALHO EU TO COM ZIKA VIRUS JDNDJJSISBBXJDJS QUE PORRA É ESSA? por isso que eu odeio mosquito aaaarrrg
72,"Indo pra rua contra o mosquito da morte. Fora Aedes com sua dengue,  zika e chikungunya."
73,@cabelloucura foi picada pelo mosquito zika
74,Beba sem zica!! #tecnologia #cervejaaedes #aedesaegypti @jose_simao #mosquito https://t.co/5c6oqvt0ba
75,Mata mosquitos sem cheiro e Sem química! PEÇA AGORA: https://t.co/w3IFG8frBS #dengue #zica #zicaRJ #Chikungunya https://t.co/icOnZbcBYt
76,Sabe o que é triste? Saber que estamos no fim do mundo  e ver até mosquitos virarem Funkeiro  '-' Ja chega né ZICA VIROS?
77,"prevenir a Zika e a Dengue  • Evite deixar água parada em locais propícios para a multiplicação dos mosquitos como: latas,, pneus, vasos"
78,vejo um mosquito e já fico desesperada achando q vou pegar zica
79,"@oatila a mudança genetica dos mosquitos 'aedes',no projeto para acabar com eles(https://t.co/Z6ED5SSVVE) pode ter relação com a zika virus?"
80,Tem tanto mosquito aonde eu tô que daqui a pouco tô com zika.
81,Queria ser picado pelo mosquito da dengue só pra ficar zika
82,Esperando esse mosquito me picar p eu virar um mlk zica
83,Entenda os perigos do zika vírus e saiba como se proteger https://t.co/bma5kSWVma #FalaBrasil
84,Tô com medo desse mosquito #dengue #zica #aedesaegypti
85,Conheça as plantas que afastam o mosquito da dengue e do vírus zika | Campo Maior Notícias https://t.co/BkisdhWTBr
