,tweets_VERB
1092,"Fique atento aos locais em que o mosquito causador da dengue, da chikungunya e do zika vírus pode colocar seus ovos. http://t.co/eqynmTbM9W"
1093,Publiquei 7 fotos no Facebook no álbum 'O TAL MOSQUITO ZICA' http://t.co/FWpJ0xdYmc
1094,fazendo a cruz com a unha nesta picada de mosquito para repreender a zika em nome de jesus
1095,"@notic3_me nao, apesar de ter mt mosquito parecido com o aedes onde eu moro nunca tive dengue/zika e n acho q seja agora"
1096,vejo um mosquito ja pego SBP terrível contra os insetos contra os insetos pq n quero pega zika virus chikungunya e dengue
1097,"Tenho certeza que pegou lá no seminário, tinha muito mosquito lá, e ainda tinha uma mulher com Zika lá."
1098,Olha só como eliminar lugares propícios ao mosquito da #dengue e do #zikavirus. https://t.co/DPLssPE6bh
1099,Gostei de um vídeo @YouTube https://t.co/ZdIrptfZWaão é infectado pelo Zika Vírus e vira o mosquito da dengue
1100,queria saber se meu sangue eh doce pq o tanto de mosquito que me ataca eu vou ja pegar um zika virus uma dengue ave maria
1101,"@lambuzayn aqui na vila a zika já existia faz anos e não era um mosquito, e sim uma gíria jdjwjdjsijzjwhid"
1102,"peguei, culpa do mosquito https://t.co/XuV4QNGVsX"
1103,"Mantenha sua família protegida conta o AEDS AEGYPTI, mosquito causador da Dengue Chikungunya e Zika Vírus.... https://t.co/Dg9oTTldTG"
1104,"Mata inseto eletrico ClearPassage.  Elimina o mosquito da dengue, zika entre outros.  Certificado… https://t.co/rZdoAnFW4c"
1105,Acho que os mosquitos do Brasil estavam contaminados com farofa e não zika  #CerimôniaDeEncerramento
1106,Malaguets já que o assunto é #Zika... Vamos dar aquela zikada? Você mandaria o mosquito #AedesAegypti visitar... https://t.co/Qm1eSFlix5
1107,Gostei de um vídeo @YouTube https://t.co/9C8dRciXG1ão é infectado pelo Zika Vírus e vira o mosquito da dengue
1108,"Acho q o Justin não vem pro Brasil...Com essa crise, com o mosquito da dengue, zika virus e afins #askbelieber"
1109,Tem tanto mosquito no meu quarto que estou até com medo de pegar dengue/zika/chicungunha
1110,Passou um mosquito aqui  eu tenho maior medo de pegar Zika vírus
1111,"Tem muito mosquito aq, se eu sumir é porque peguei zika/dengue"
1112,"@dearmria deve ser o mosquito com o zika vírus que te picou, deu nisso"
1113,Acho q mnh irmã foi mordida pelo mosquito zika
1114,"Detesto ver essas coisas sobre o zika vírus pq quando passam na tv, mostram o mosquito super de perto e já começo a me coçar"
1115,"Veja como se prevenir dos mosquitos: Desde que o zika vírus, transmitido pelo mosquito Aedes aegypti, foi apon... https://t.co/Dldw7kwbCd"
1116,passei por um lugar com tanto mosquito mas tanto mosquito q to com medo real de pegar dengue/zika ou qq coisa desse tipo D:
1117,Levei uma picada do zika virus (real)  Aí o mosquito caiu na teia de aranha Mais um motivo pra eu amar aranhas
1118,Chegaram as telinhas mosquiteiros que comprei pras janelas. Minha casa agora ta o mais protegida possível dos mosquitos. Medo do Zika!
1119,"Combater a dengue, o zika vírus e a chikungunya é um dever de todos! Denuncie focos do mosquito Aedes Aegypti em Salvador: 3202-1808."
1120,Gostei de um vídeo @YouTube https://t.co/3AFtTS25dcão é infectado pelo Zika Vírus e vira o mosquito da dengue
1121,"eita pexte... geral com zica virus no face, essa pexte do deserto desse mosquito tem pacto! num é possível.. putakilosfá...."
1122,"Morando em NY é mole, vem pra cá, usa o SUS e fica sem salario, corre do mosquito da Zica. https://t.co/l4pQbDiouQ"
1123,Tem um mosquito da zica rondando por aqui ..
1124,queria ser o mosquito da zica pra estaar na casa de um dfeles kkkk e pica-los  https://t.co/1AZr6kTtRj
1125,Tem duas picadas de mosquito horrorosas em mim nossa que horror tomara que nao seja zika nem chicungunha
1126,Matei um mosquito da zika aqui https://t.co/2nk3vqjSAe
1127,Torceu o pé? Passa arnica. Picada de mosquito ? Passa arnica. Febre? Arnica. Zika? Arnica. Câncer ? Arnica.
1128,teve palestra sobre zika virus na escola e ele disse q pode ser transmitido pelo beijo mas quem eh o idiota q vai beijar um mosquito ??¿?
1129,Tem tanto mosquito aqui na rua que eu tô vendo a hora de pegar zika de novo.
1130,@letossia um mosquito me picou acho w to com zika
1131,#camara Parlamentares defendem alterações na MP de combate ao mosquito da dengue e zika https://t.co/al0lqxSU5g
1132,Fudeu mané minha mãe e pai tão com zika ... Mosquito mandadão mané
1133,acho que acabei se ser picada por um mosquito de zika e to muito puta
1134,vai todo mundo usa roupa preta vai atrai o mosquito zika virus ne
1135,Chegou a coleção completa de Citronela da Perfubrasil ! Repelente Natural do mosquito que pode transmitir zika... https://t.co/ogsWVA58uS
1136,sentou um mosquito ja penso que eh zika que ja to com microcefalia
1137,"Pensa numa pessoa que subiu no conceito é a Jessica viu mano, a bicha é mais zika que o mosquito"
1138,sera se aqueles mosquitos estavam premiados cm zika vírus???!!??!?!?
1139,vi um mosquito listrado no banheiro e já comecei a pensar 'já era peguei zika peguei todas as doenças vou morrer amanhã'
1140,"Coloca estes caras numa sala cheia de mosquito zica, aédes, dengue malária  etcs..... https://t.co/VcTmCx0VUW"
1141,"@viniciusogus esse mosquito tem uma paixão por mim, 3 vezes dengue e agora suspeita de zica, Se não é amor, é um puta tesão! kkkkkk"
1142,"Li 'molusco' no lugar de 'mosquito' no banner da campanha contra o zika na capa do UOL, e pensei: hum como estamos! https://t.co/gxgU96gGtF"
1143,Perceberam que até aqueles mosquitos se aquetaram com tanta crise? zika #dengue
1144,"Façam piquetes e parem tudo.. não deixem nem o mosquito Zika, voar . #OcupaBrasilia #OcupaBrasil  https://t.co/0nn8dWc0Re"
1145,@btwsjauregui eu pensei q era sobre zika tb mas falaram que é sobre o mosquito mesmo
1146,Tem tanto mosquito me picando toda semana na casa da minha prima que não sei como ainda não peguei nenhuma dengue ou zika
1147,falaram que o zika vírus é transmitido pelo beijo kkkkkkkkk quem é o doido de beijar o mosquito kkkk
1148,"Passar 6 dias no mato com mosquito, dormindo em rede, andando km's, correndo o risco d cobra picar, onça comer, ou pegar dengue/malária/zika"
1149,@marisascruz @srcabeca_batata — será que não foi do lago que o maluco tirou esse mosquito da Zica no poder?
1150,"Disseram que o Zika Vírus pode ser transmitido pelo beijo. Mas quem vai beijar um mosquito? É cada uma, viu!"
1151,"@jdeandradeneto se esse mosquito transmitir Zika, lascou tudo. Kkkkk"
1152,lendo: mosquitolandia Oq achei: muito bacana e acessível Lições aprendidas: n pode deixar água parada pq a mosquita ta dando zika
1153,matei um mosquito da dengue com zika virus
1154,@pgm_ratinho boa noite ratinho o brasil luta p fazer um remedio p o mosquito zica e nois temos o remedio p o cancer e nao podemos usar
1155,SOBE Zika Virus: potencialmente transmitido por qualquer mosquito DESCE aedes aegypti: quem não dá assistência perde a preferência
1156,"Será q essa brisa de mosquito transgenico não foi a origem desse zika, chigungunya etc?"
1157,"'Acho que o mosquito da dengue pensa assim: 'vou pensar aqui quem vai ficar com dengue,chikungunya e zika.Essa puta ai não gostei, vai zika'"
1158,Descoberto vírus Zika na saliva de um mosquito comum - JN https://t.co/zgc6Bfy9xM
1159,"Acordei com um mosquito da dengue/ zica vírus picando meu dedo, mas estou bem até o momento. Qualquer problema, aviso vocês!"
1160,Olha o BTi BR3 na área @pcesarsilva1 'Startups lançam os primeiros larvicidas domésticos contra o mosquito da zika' https://t.co/Y2QdP8uKEM
1161,Ouvi no rádio que um estudo em Pernambuco fala que mosquitos comuns conseguiram adquirir o vírus Zika Ainda n sabe se pode transmitir MEDO
1162,"#OdeioQuando um mosquito me pica e fico pesando se peguei zika, dengue ou febre Chico Cunha."
1163,"Falando em mosquito... Ontem a aula de Ciências com a diretora foi toda sobre mosquito, as doenças, zica vírus, chikungunya, aedes aegypti.."
1164,"DEIXAMOS O DESIGN DE LADO PARA FALAR DE SAÚDE PÚBLICA #Dengue #Zika #Chikungunya O mosquito já não é o mesmo,... https://t.co/01oSNCApSm"
1165,"matei o mosquito zika la, entao sou mais zika que ele"
1166,"Comprem + repelentes, porque se confirmada a ligação dos mosquitos do gênero Cullex ao Zika Vírus, é a maior crise epidemica da história."
1167,Pensando aki.....  Zika virus...  Mosquitos desenvolvidos em laboratório...   Isso pra mim..  Eles estão causando... https://t.co/lzTMb7SFM3
1168,Participe da chamada de relatos no combate ao mosquito #AedesAegypti #ZikaVirus Outros https://t.co/rniRLxUrQM https://t.co/zzFVCuV8F7
1169,@cellviados2 ENGRAÇADO ATÉ O VÍRUS DAQUELE MOSQUITO É ZIKA E EU ND
1170,"#OdeioQuando vejo que um simples mosquito pode fazer tanto mal...E você, também odeia? Então fique de olho! #zika... https://t.co/z2lKNAWjM4"
1171,Gostei de um vídeo do @YouTube de @pirulla25 https://t.co/hm5iMSjrT1 #Zika: Água parada pra combater mosquito??? (#Pirula 125)
1172,Pegar zika nois não pega mas é cada mosquito
1173,Nois paaga de machao mas quando os musquito chega perto nois pensa logo no zica
1174,"Vamo cuidar das casa aí galera, o mosquito da dengue, zika e chico cunha não tá perdoando mesmo"
1175,"@psychopiperx ai eu kkkk tem que passar querida, pra se proteger da zika miga"
1176,Começando as sessões de análises de jogos de hoje com Hitman. Mas não consigo começar realmente por causa de um mosquito da zica me rondando
1177,"Sai, zika! E não estou falando do mosquito"
1178,Vale tudo contra o mosquito da dengue Zika https://t.co/aQ7HGHjCtq via @youtube
1179,agr qqr mosquito q entra aqui eu to achando q é zika
1180,Tomara que nenhum desses mosquitos seja da dengue Zika vírus chico Cunha
1181,"Dizem que o Zika Vírus é transmitido por beijo... Mas quem seria o doido, ou a doida, que vai beijar o mosquito? 😂"
1182,odeio mosquitos mt antes da moda da zika e da dengue sou hipster d+ sim
1183,dizem q é o mosquito zika mas a principal causa da microcefalia no brasil é seguir o bolsonaro
1184,"Reclamam da zica mais é a população quem tem maior parcela de culpa, vários focos do mosquito em casa ..#BoraAcordarOuquerviverDeDipirona?!'"
1185,odeio qnd tá calor oq eu vou abrir a porta e entra 5 mosquito 2 zica vírus 4 parente chato e 1 testemunha de jeová
1186,Elimine o mosquito da dengue e zika com este inseticida caseiro de fermento e açúcar mascavo https://t.co/E97HZFKEvN
1187,Participe da nossa app 'Sem Zika' e nos ajude a combater o mosquito: https://t.co/b1RU1Kp5rV https://t.co/MGlYqZnpZ3
1188,"Tem uma pastora alí no meu face desejando que um mosquito da Zica pique a Dilma. E depois,vem me convidar pra conhecer a igreja. Tá SERTO!"
1189,@starswithnames culpa do mosquito da zika
1190,"Convidamos a comunidade para participar do 'Arrastão de Combate ao mosquito da Dengue, Chikungunya e Zika Vírus,... https://t.co/45XjP9KwH7"
1191,Deu zica... E não foi o mosquito... #sórindo
1192,Td mosquito que eu vejo já acho que é um zika vírus fi
1193,Matei um mosquito aki e tô vendeno ele pra quem quiser atestado médico.  Vem completo com dengue zika chico cunha e entre outras
1194,"Apareceu agr 3 mordidas de mosquito em mim, q medo de pegar zica ou essas outras doenças"
1195,Vei a Renata mandou eu fazer um trabalho do Bag da zika e até agr n vejo nenhum musquito mané
1196,"Peguei o virus Zika. Lutei tanto contra o mosquito e ele se vingou...  Ele venceu uma Batalha,… https://t.co/7A96GNccna"
1197,"Vamos trabalha contra a Zica,Grupo de Evangelismo ADAD da Assembleia de Deus contra o mosquito da Dengue Venha vc tb https://t.co/iCLam9oWP4"
1198,"Disseram que o Zika Vírus pode ser transmitido pelo beijo. Mas quem vai beijar um mosquito? É cada uma, viu."
1199,Fique atento aos sintomas da Zika. Educação + Prevenção → Menos Mosquito #ZikaZero https://t.co/bx99IQnFcQ
1200,"Kct mano, tomei umas 12 picadas hj se duvidar peguei zika, dengue e chikun tudo de uma vez gakavsuwkabs odeio esses mosquitos"
1201,Gostei de um vídeo @YouTube de @alcenorbarradas https://t.co/ZJGSdjlzC0 Como matar o mosquito da dengue e o zika
1202,"fazendo uma festa aqui com os mosquitos, será que eles trouxeram dengue ou zika?"
1203,mano hoje eu devo ter pegado zika/dengue ctz pq uns 15 mosquito me picaram
1204,Olha só o que achei no Youtube... Mosquitos Transgênicos podem ser a causa do Zica ter evoluido e da Microcefalia. https://t.co/Ksf1VveynN
1205,quer se proteger do zika virus se proteja mas nao precisa passar alvejante no corpo ta bom? tchau bj
1206,lembre se  se o mosquito não pica tchau zica
1207,hj tô tão de tretas q se o mosquito tentar me passar zika eu q passo zika pra zika dele
1208,Fale sobre seus serviços nesse perfil @SuperVia_trens. #mosquito e #ZikaVirus deixe pra outro perfil. https://t.co/XYYpgy5ANY
1209,Unir a advocacia em torno do combate ao Zika vírus e os pontos de proliferação do mosquito Aedes... https://t.co/3diHiXCtKf
1210,Matei um mosquito aqui que ficou 1l de sangue na minha mão se é o zika virus ADEUS
1211,Acho que um mosquito do zika virus me picou... Virei muleke zika
1212,Disseram que o Zika Vírus pode ser transmitido pelo beijo. Mas quem vai beijar um mosquito?! 😂
1213,"falei com a minha mãe que o virus da zika pode ser transmitida pelo beijo, a muie não vira pra mim e pergunta pq vai beija um mosquito???"
1214,"passa um mosquito aqui ja fico co medo, vai q é o zika"
1215,"@aflaviaclaudia kkkkkkkkkkk E tem que ter donde vazar a água da chuva. Essa paixão aí, água limpa, mosquito da dengue-chuga-zika. kkkkk"
1216,"Disseminado principalmente atrav&amp;eacute;s da picada do mosquito do g&amp;eacute;nero Aedes, o v&amp;iacute;rus Zika... https://t.co/jLaCb8kMzE"
1217,Queria entender como uma pessoa associa zika e lula... Ele e o criador do mosquito? Ou a doenca existe por causa dele? #Duvidas
1218,Gostaria de avisar ao mosquito que no atual momento não to podendo pegar zica nem dengue nem chikungunya. Fica pra proxima oportunidade
1219,"Votei na opção 'Tamiel' em 'Quem você quer eliminar?' Tem Zico do Futebol(REI),agora a Zica do #BBB16 (MOSQUITO)kkkk https://t.co/diAlItNvFE"
1220,"Falando sobre a Campanha da IEQ contra o mosquito Aedes Aegypti, transmissora da dengue, febre chikungunya e zika... https://t.co/Y1qh3KEkzU"
1221,Disseram que o Zika Vírus pd ser transmitido pelo beijo . Mas quem vai beijar um mosquito?   É cada uma viu...
1222,"Gostei de um vídeo @YouTube de @mibrcorassa https://t.co/ih0EysxEAl Zika virus, microcefalia agente laranja e dioxina mosquito ou"
1223,"achava q esse negocio de Zika Virus era uma zuera e n um mosquito pqp, agora q descobri"
1224,"Tem uns mosquitos aqui perto de mim, será que vou pegar zika?"
1225,"Parece que o o Zika pode ser transmitido através do beijo né? To de boa, não vou beijar o mosquito mesmo!"
1226,do jeito que está tendo tanto mosquito aqui em casa eu acho que vou ter zika pela segunda vez.
1227,"Evite o mosquito Aedes Aegypti, transmissor das doenças Dengue, Zica e Chikungunya. Não deixe água limpa parada... https://t.co/lSTUVhfeRn"
1228,Ligando pro mosquito do zika vir me picar pois não quero sair debaixo das cobertas pelas próximas duas semanas
1229,tem tanto mosquito nessa casa que daqui a pouco pego zica de novo
1230,tem mt mosquito aqui hj é hj q eu pego zika virus
1231,"matei um mosquito com a mão, me sinto eliminando a zica do mundo"
1232,"abri a janela do quarto e nem um ventinho entra, mais fácil entrar o mosquito da dengue/zika"
1233,Veio tanto mosquito em cima de mim agora que acho que peguei zika pq olha #askbelieber
1234,"Esperei tanto pelos meus 18, me alista no exército e ir lutar contra o mosquito da dengue e do Zika vírus"
1235,Vi um mosquito ele me bico to com medo do zika vírus 😢
1236,"@gabrindo compra uma plantinha carnívora, ela vai inclusive proteger todo mundo pq vai comer os mosquitos zika"
1237,"Manter as cidades limpas também ajuda a eliminar criadouros do mosquito transmissor da #dengue, #zika e #chikungunya https://t.co/joqlOTxbaj"
1238,"Tem propaganda do governo até no spotify (contra o mosquito do zika). Eles tão vendo o potencial dele, e a propaganda não deve ser cara lá"
1239,"Td hora q esses mosquito me pica já penso q vou pegar zika virus, xycungunha, aedes aegypti e dengue"
1240,Junte-se a nós nessa batalha! #Mosquito #Zika Veja mais em https://t.co/uBmk3ONMUH #BrasilUnidoContraaDengue https://t.co/ra5LJUztXr
1241,Vi uma notícia que o zika vírus é transmitido pelo beijo. Mas que é o louco que vai beijar um mosquito?
1242,Tinha um mosquito na minha perna SERA QUE É O ZIKA ?
1243,valeu aí mosquito mais zica desse Brasil
1244,"Saiba mais sobre a febre chikungunya, transmitida pelo Aedes, o mesmo mosquito da dengue e da zika. https://t.co/0VjPmaOQhI"
1245,"Tenho uma dúvida, se eu estou com zica e outro mosquito vem e me pica ele fica com zica também ? 💫"
1246,"Ouvi boatos de que um dia não vai mais existir mosquito normal, todos serão mosquitos q transmitem dengue/zika/chicungunha"
1247,"tinha tanto mosquito na minha sala que eu nao sei como não peguei dengue, zika, ~chico cunha~ entre outros"
1248,Faça sua parte e junte-se à luta contra o mosquito do zika e da dengue. https://t.co/r0oHaDXpyE
1249,Saiba mais como o mosquito Aedes aegypti transmite o zika vírus e a dengue. https://t.co/2G0trVPZUY
1250,"acabei de vê um mosquito zika cara to morrendo de medo de ficar c isso, minha mãe já ficou c isso"
1251,tomara que os mosquitos que estão me picando aqui no quintal sejam do zika vírus
1252,So um minuto que eu vou me proteger do zica nesse momento
1253,"Sabias que o zika, transmitido pelo mosquito da dengue pode causar doenças neurológicas graves em crianças e adultos https://t.co/M9TyPEAm8q"
1254,Sabe o que é Zica vírus né?  Sei um mosquito  morriiiiii kkkkkkkk 😂😂😂😂😂 so vc mesmo @_baahcarolis
1255,Tem uma coisa me tirando o sono se chama mosquito zika virus
1256,Comer alho ajuda a afastar mosquito do zika? 10 verdades e mitos https://t.co/ZaFjOPgu0Z #brasil
1257,"Falei em casa q, infelizmente, 17 mosquistos me acharam neste momento. Minha mae gritou: quer dizer q eles vao passar zika pra gente, ne?!"
1258,quer ver eu ser picado por essa porra de mosquito e ficar com zica caralho só pq sou eu
1259,imagina eu&amp;vc  na rede  escutando armandinho ai fica calor e nois começa a suar os mosquito picando amor passa repelente zika virus  dengue
1260,@grroupie @eitalarie o zika é procriado na agua transmitido pelo mosquito da dengue
1261,acho que ja era tinha um mosquito aqui acho que era do virus zika
1262,Matei o mosquito do zika virus aki na sala
1263,Exterminando 1 por 1(é um mosquito da dengue/zika https://t.co/ppgoMpdYLX
1264,DENUNCIA:  PAINTBOL JARDIM DA VIGA! Após recebermos denúncias de infestação de mosquitos da 'dengue/zika'... https://t.co/HMCUMjcOAo
1265,Voltei do churrasco com mais de 30 picadas de mosquito. Espero que não nenhum seja da dengue zica ou sl o que
1266,"acho q fui picado pelo mosquito,to dengoso e minha vida tah uma zika!!"
1267,Gostei de um vídeo @YouTube https://t.co/XrBJmV7hFjão é infectado pelo Zika Vírus e vira o mosquito da dengue
1268,Ri muuuuiiitoo kkkkkkkkkk  'Ninão é infectado pelo Zika Vírus e vira o mosquito da dengue Após deixar água... https://t.co/pKI8cWDdUI
1269,"Gostei de um vídeo @YouTube https://t.co/JTba28j63f Caseiro receita contra o mosquito que causa a dengue, zika, etc"
1270,Gostei de um vídeo @YouTube https://t.co/Whw1JdpEsgão é infectado pelo Zika Vírus e vira o mosquito da dengue
1271,lembrando do réveillon... minha mãe dançando até o chão com meus amigos 😖😖😂😂 foi picada pelo mosquito zika também
1272,tem tanto tempo q eu n choro q quando as lágrima cair um dia vai ter os mosquito da zika de tanta lágrima parada
1273,PAREM DE CANTAR O CAMPEÃO VOLTOU ISSO CHAMA A ZICA E NEM É O MOSQUITO
1274,Será que era o mosquito da dengue ou da zica. https://t.co/XcM4rh2gsQ
1275,"Cader aquele mosquito da dengue, zika. Pra fazer esse alemão passar mal. #Futebol"
1276,"Mata inseto eletrico ClearPassage.  Elimina o mosquito da dengue , zika entre outros.  Certificado… https://t.co/iBNs5s65M8"
1277,"Tem produtos naturais q matam, c/o a cúrcuma. Pesquisem! Ainda acho q o vírus Zika veio com o mosquito transgênico. https://t.co/SSBxNPcdWd"
1278,"descobri hj que sou uma pessoa que tem 'zika', é isso mesmo, a porra do mosquito da dengue transmite uma parada chamada zika"
1279,Gostei de um vídeo @YouTube https://t.co/6ggQ5v6PbQ✪ 'MOSQUITO REPELLENT' SOUND ✪ Anti Mosquito Noise ~ Free 11 Hours 'Zika
1280,@nataliamup @astridfontenell Não a Fiel sempre usou esse termo nos jogos do Corinthians 'Sai Zica'... Mas agora é bulling c/o mosquito!!!
1281,"@raafa__freitas zika foi com a goleira americana que tirou uma foto falando do mosquito, esse é bicha mesmo certeza"
1282,sera q um desses mosquitos eh da dengue ou da zika
1283,"vem do sudoeste com cancer terminal, aids e picados pelo mosquito zika ou o crl mas dizem q ficavam mais uma semana"
1284,Gostei de um vídeo @YouTube https://t.co/KJR3qyzQfz Zika (Resposta do Mosquito)
1285,"Elimine o foco do mosquito. Boa tarde, pra você que tá com Dengue,Chikungunya ou Zika.  Se cuida!! http://t.co/n1rV5nlx3d"
1286,Veja tudo sobre o novo vírus zika transmitido pelo mosquitoAedes aegypti&gt;&gt;&gt;&gt;http://t.co/9LTFmQtcz2 http://t.co/HsPM5GCndX
1287,"Queria ter ido p trilha c a Samara hoje, mas  prefiri n me arriscar por causa da zica rs Imagina ser picada pelo mosquito dnv? Deus me livre"
1288,"acho q vou ficar com zica, os mosquitos estão me mordendo muito"
1289,"@talicks_me sim, e o mesmo mosquito da dengue q faz isso , só q essa zika não e grave"
1290,Espero que esses mosquitos do capeta que transmitem zika e chikungunha não se espalhem pelo Brasil. Pq aí a merda vai ficar gigante...
1291,"Esperando a Ariel e aproveitando pra pegar uma Zika, ta cheio de mosquito aqui na calçada kkkkkkkkkkkk"
1292,Procurando esse mosquito ordinario que me passou zika/dengue/chicugunha
1293,tem tanto mosquito aqui no quarto q já devo ter pego zika enquanto digito esse tuite
1294,Tava cheio de mosquito da zika na sala
1295,"Deixa eu matar esse mosquito no seu joelho aqui,zika pode matar #paz https://t.co/weqqhemkM4"
1296,Crl aqui na uvv tem uns mosquito que parece uns bois puta que pariu!!!!! So zika virus
1297,Daí os gringos vem pro Brasil mó se protejenu da zika tadinhos se eles ao menos soubessem q nóis mesmo tamo cagando pros mosquito
1298,"Quer dizer então que a Hope Solo sabe se proteger do Zika, mas não sabe se proteger de frango?"
1299,Queria ser o mosquito da zika para dar uma boa picada na Hope Solo.....rsss
1300,'e a hope não vai ter pesadelos com o mosquito da zika' ah cês são terríveis mesmo
1301,Olha ai a #HopeSolo caçando o mosquito da zika... https://t.co/08d5WEYMYh
1302,Tem um corno dum mosquito aqui no meu quarto que se eu pegar zika virus dele eu mato ele e todo mundo porque num é possível
1303,Adicionei um vídeo a uma playlist @YouTube https://t.co/47rzvpmGgp e Zika Virus TEM RELAÇÃO? - A Farsa ! (Mosquito
1304,rapaz se com esses mosquito todo n pegar nem o zika eu vou me considerar o maior ogro da face da terra
1305,espero que esse mosquito que me picou cheio de zica sente no colo do mosquito capeta
1306,eh mosquito da dengue q eu mandei p vc pegar zika e te matar https://t.co/CKHWiNgVNr
1307,Gostei de um vídeo @YouTube https://t.co/NgZCk372lião é infectado pelo Zika Vírus e vira o mosquito da dengue
1308,"@goaway_bitch oi, baby, tô melhorando! Porém zika muito bad vibes, não recomendo vc a passar perto de mosquitos. brigada, meu amô &lt;33"
1309,"Gostei de um vídeo @YouTube https://t.co/0IZgCBCiZR Caseiro receita contra o mosquito que causa a dengue, zika, etc"
1310,Espero que esses mosquitos na na universidade federal sejam aqueles geneticamente modificados e não os da dengue e zika. Ta infestado aqui
1311,Gostei de um vídeo @YouTube https://t.co/DcsrBMqueTão é infectado pelo Zika Vírus e vira o mosquito da dengue
1312,Gostei de um vídeo @YouTube https://t.co/4MpzdzPSNeão é infectado pelo Zika Vírus e vira o mosquito da dengue
1313,obrigada pra quem sentiu minha falta pra quem não sentiu eu desejo que seja picado pelo mosquito do zika vírus
1314,Gostei de um vídeo @YouTube https://t.co/I6pSkFCMu6ão é infectado pelo Zika Vírus e vira o mosquito da dengue
1315,Haverá ações de reforço no controle vetorial e ampliação das ações de campo para o combate ao mosquito da dengue e da zika. #ColetivaSES
1316,"Mata inseto eletrico ClearPassage.  Elimina o mosquito da dengue , zika entre outros.  Certificado… https://t.co/WtbrPpZfP3"
1317,Tem mosquito da zica e partido da zica
1318,Kkkkkkkkkkkk talvez penspu que fosse o mosquito da  Zika kkkkkkk https://t.co/x3AfQvAMiu
1319,"Gentemmm uma obs... Onde foram parar os mosquitos da Zica, Chicungunha durante as Olimpíadas, nunca mais ouvi falar.. Só eu?? #Rio2016"
1320,"voltamos a nossa verdadeira competição com os mosquito da Dengue,zika e chikungunya.Lava jato,corrupção, Impeachment, crise. vai votar tudo."
1321,"Tem mais mosquito da zika em Miami do que no Rio de Janeiro. Avisem a Hope Solo, por favor! https://t.co/HWD72usXwz"
1322,gostaria de lembrar q ngm pegou zika ngm nem viu um mosquito  #CerimoniaDeEncerramento
1323,"Voltam os mosquitos com o calor. Dengue, zika, chikungunya.. Só falta chegar o Mayaro virus da Amazonia, uma novidade para o verão."
1324,Acho que podia entrar um carro alegórico com um mosquitão do Zika!
1325,Adicionei um vídeo a uma playlist @YouTube https://t.co/0j9sPpaj5g Grávidas podem evitar Zika Vírus e proteger o bebê da
1326,"Adicionei um vídeo a uma playlist @YouTube https://t.co/yhfyvPlL3J a Relação? Mosquito Geneticamente Modificado, Zika Vírus e"
1327,"Elimine objetos que possam acumular água e servir de criadouro para o mosquito da dengue, chikungunya e zika. https://t.co/RzpmBFHRof"
1328,Aprenda a fazer uma vela de citronela super repelente que mantém o mosquito da dengue (e zika) longe da sua casa... https://t.co/Ltk6neYknu
1329,Tenho certeza que estou contraindo dengue/zika/microcefalia ou qlqr coisa q o mosquito da dengue transmita. Tem uns 20 em cima de mim
1330,@ineedalittlepig mosquitos de hj em dia tudo zika
1331,Comer alho ajuda a afastar mosquito do zika? 10 verdades e mitos: Saiba como se prevenir da ação do mosquito A... https://t.co/h90Fx6cvOj
1332,Aprenda a fazer uma vela de citronela super repelente que mantém o mosquito da dengue (e zika) longe da sua casa... https://t.co/rOe3gcPG3l
1333,Comer alho ajuda a afastar mosquito do zika? 10 verdades e mitos https://t.co/y9UC01ziMh
1334,Aprenda a fazer uma vela de citronela super repelente que mantém o mosquito da dengue (e zika) longe da sua casa... https://t.co/D55fr6L8b6
1335,@_pedrolz o mosquito que me pico é full preto sla to com medo desse zika virus ai
1336,Via @paraibacombr | Além do zika: Mosquitos já transmitem 37 vírus no Brasil https://t.co/rZ2LBrgZ3C
1337,Conheça o Zika Zero: novo minigame desenvolvido pela Estácio que simula combate ao mosquito Aedes aegypti.  https://t.co/lUzroZx86b
1338,'o q é isso no seu pescoço?' 'foi o mosquito da zica' 'acho que vc trocou o P por Z' 😂😂😂😂 mereço
1339,"Odeio ver q to com mordida de mosquito, já acho q vou ficar com zika"
1340,Mordendo o mosquito do zica vírus
1341,agr qualquer mosquito que me pica acho que vai dar zika
1342,Será que o mosquito da zika picou ela? Ficou acéfala. https://t.co/zP5PRfEMtR
1343,tem um mosquito aq que eu espero que não seja portador da zika
1344,"Proteja sua família contra a zika, não deixe o mosquito entrar na sua casa.Evite água parada. #JuntosContraOMosquito https://t.co/kAItish6g7"
1345,Conheça o mupi que está a acabar com o Zika - Outdoor mata mosquitos que transportam vírus: https://t.co/5C51zPZZM7 https://t.co/rIQPHKHeSb
1346,Ha uma nova orientaçao para que as gravidas evitem contaminaçao do mosquito Zica. Usar camisinhas no periodo de gravidez.
1347,Gostei de um vídeo @YouTube https://t.co/qxWerB8YH8 the Scientists Hunting Zika-Carrying Mosquitoes
1348,"comprar algumas capsulas de zika vírus,espalhar sobre o Brasil,e culpar um mosquito pelas reações do vírus :)... https://t.co/p8493ZXXkx"
1349,"Espero que nao seja essas merdas de doença de mosquito, já bastou a zika no carnaval"
1350,"Tem um mosquito me rodeando aqui, já me estapiei toda com medo que seja o zika😂"
1351,Quero deixar um recado para todos os mosquitos do mundo: não posso ter dengue/zika/chikungunya esse período. Simplesmente não dá.
