,tweets_VBG
19,Sou a favor da extinção dos mosquitos todos Acaba com dengue zika etc
20,Ajude a proteger o Maranhão do mosquito da dengue e da zika. Veja o vídeo. https://t.co/rjUIRE8V5b
21,"@drangelocarbone distribui onde tem.mais zica ,para espantar mosquito"
22,PAULADA  THE NEWS: Cinco dicas para se proteger do vírus zica.A relaç... https://t.co/s2SueOXjKM
23,"ZIKA A culpa é de todo mundo,décadas sabemos o que tem que ser feito para combater o mosquito e não fazemos. https://t.co/8lgP7nBTqO"
24,Vivendo a época dos Mosquitos: chikungunya e dengue e zica. E do PT :Governo Câmara e Senado. Ver sintomas.
25,Aceite a dengue eo mosquito mais foda e é o mais zika tbm 🙇 - Ashuashuaa   https://t.co/Y1qWUlMLB4
26,Cadê a Izabella  Teixeira Ministra do Meio Ambiente  está atrás do mosquito Zica  e esqueceu de ver isso? Isso não pode acontecer.
27,afffff a mia cancelou a viagem no brasil por causa da zika mosquito desgraçado
28,Meeting Brasil.Josy Tavares Tavares...ISSO E NORMAL O DOENÇA DE DA ZIKA MOSQUITO?...O BLOQUEIO E COISAS DE PESSOA... https://t.co/gWqU3L7qJy
29,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC https://t.co/AOoJb5M5tl"
30,Com a epidemia da Zika o pessoal vai manter a foto para afugentar os mosquitos... https://t.co/oqFpp4e9we
31,"desculpem a revolta, mas é o cúmulo do ridiculo falar zap ou zapzap, nossa que coisa mais fui picado pelo mosquito zika"
32,"Se a Dilma ficar até 2016,  o mosquito da zika vai chegar em todo Brasil. Praga da Dilma Ramses https://t.co/OQPelDUXa6"
33,"Se a Dilma ficar, vai piorar. Dilma é Ramses do povo brasileiro e trouxe pragas:1) Lama 2) Mosquitos e zika 3) Crise https://t.co/135luZvX1A"
34,gente me ajuda aqui um mosquito me picou e eu acho q eh o zica o q eu faço ???? https://t.co/y81ve0uL75
35,claramente a mina ta espantando o mosquito do zika virus da fuça da outra https://t.co/ryf5fqZpCa
36,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
37,"Esqueci a janela aberta e o teto tá forrado de mosquito,só falta um Zika vírus  msm pra completar a minha desgraça"
38,"ri a beça, mas to morta e fiquei mais de uma hr perdida no meio do mato e provavelmente peguei zika pq oq tinha d mosquito nql lugar GZUIS"
39,"Sabe a zika gente, então, não deixem o mosquito picar vocês"
40,"Livre a sua casa do mosquito transmissor da Dengue, Chikungunya e Zika Vírus! https://t.co/fDnOqHVMPB https://t.co/JfQF5QLDKJ"
41,"Com a intenção de mostrar que o mosquito que transmite a dengue, zica e chicungunha pode s… https://t.co/jy0OcVkpyN https://t.co/2ooWVCUV5z"
42,Chamar a pessoa de zika era elogio.... Agora com esse mosquito virou doença... Kkkkkkkkkk
43,Ajude a rastrear focos do mosquito Aedes aegypt usando o celular.  https://t.co/ZgO1BfOjxI  #ZikaVirus #zika #zikazero #AedesAegypti
44,fico me perguntando se o guri que eu conheci que o apelido é zika tá sendo muito zoado de mosquito agora
45,agora  a Zika virus pega belo beijo mais em que pessoa em si consiencia vai beija um mosquito?
46,"Se a Dilma for pica pelo mosquito da dengue, zica virus, e chiconguinia acaba os mosquito, porque ele tem sangue ruim e veneno no corpo"
47,"Evite a proliferação do mosquito causador da Dengue, Zika e Chikungunya. Água parada aqui não! https://t.co/afimdx9DiV"
48,Tão a profetizar Zika assim😩. Nós sempre convivemos com mosquitos 😂
49,"Breaking news: O mosquito transmissor do troca user, conhecido como zika bianca, picou metade da TL"
50,"Qnd a Anitta mandou fazer o vestido dela de ontem, ela estava pensando em se proteger do Zica"
51,Revogaram a autorização do mosquito. Agora ele está proibido de transmitir Zika e Dengue. @ThaisaRadin @SirMuenster https://t.co/ux1bE9MvgA
52,É a primeira vez que os mosquitos portadores da zika estão presentes na zona continental dos EUA. https://t.co/DsNLY6d2Mb
53,demora me responder que eu jogo mosquito zika virus no seu quarto
54,E a manchete do 'Piauí Herald': 'Mosquito pica Keith Richards e é internado com zika'. https://t.co/EizKJzFOCQ
55,Começo a achar que a melhor forma de se proteger do zika e botar sapos em cada canto da casa
