,tweets_VBZ
69,"Convidamos a comunidade para participar do 'Arrastão de Combate ao mosquito da Dengue, Chikungunya e Zika Vírus,... https://t.co/45XjP9KwH7"
70,Vei a Renata mandou eu fazer um trabalho do Bag da zika e até agr n vejo nenhum musquito mané
71,"Se a nicki não vem pro brasil por causa desse zika virus,ah mas eu vou dar tanto na cara desse mosquito"
72,do jeito que está tendo tanto mosquito aqui em casa eu acho que vou ter zika pela segunda vez.
73,"abri a janela do quarto e nem um ventinho entra, mais fácil entrar o mosquito da dengue/zika"
74,"sobre a casinha de boneca da minha sobrinha: 'Tia, aqui vou colocar uma placa escrito proibido entrada de mosquitos, e uma foto do zika''"
75,se a alemanha ganhar é so soltar os mosquito zika no vestiario deles
76,"Esperando a Ariel e aproveitando pra pegar uma Zika, ta cheio de mosquito aqui na calçada kkkkkkkkkkkk"
77,"É a zika pegou a Hope Solo mas não a do mosquito, que a do frango, tadinha da mina kkk dalhe Colômbia #tipoColombia #COL #COLxEUA #FutFem"
78,daqui a pouco vou pegar um zica de tanto mosquito
79,"fiz a prova de biologia hj, so tinha zika, serio pensei q a prova ia virar mosquito e voar"
80,do tanto que ja fui picada por mosquito hoje certeza que peguei zika virus
81,deus me libre cheio dos mosquito aki pode se o zika querendo me mata nao vai consegui deus eh mais
82,Com a quantidade de mosquito que tem no meu trabalho é um MILAGRE eu ainda não ter pego Zika. Nem Dengue. Nem Chikungunya.
83,ligo a tv  tão falando de zika vírus  troco de canal  tão falando de  mosquito da dengue  coloco no jornal tão falando de  chikungunya
84,@mmaethe e o mosquito? É o zika vírus ? To preocupada maethezinea
85,"Porra a menina que trabalha do meu lado na empresa tá com zika, agora qualquer mosquito que me picar lá vai ser meu fim."
86,@kharalhow e depois que saiu que o mosquito normal tbm passa zica eu fiquei foi doida
87,"Cheguei a uma fase na vida em que tenho mais medo de mosquito que de gente. Me chama pra passear na cracolandia, mas não me chama pra zika.😔"
88,"Do tanto de mosquito q me picou hj vai ser um milagre nos dias de hj se eu n tiver pego uma zika, dengue ou algo do tipo"
89,"E a incidência brutal desses casos está se dando por conta do mosquito da dengue, que é o da zika, que é o da Chicugunya. O mesmo mosquito."
90,do jeito q eu to vendo daqui a pouco o mosquito da zika vai se reproduzir no ar
91,"Se a gente for picado pelo mosquito da dengue, pegar zika vírus, a gente vira mano?"
92,Dudes a Madeira e a Geórgia são os únicos lugares na Europa que tem aquele mosquito do Zica e do Dengue
93,"É a microcefalia acomete crianças cujas as mães contraíram o Zika Vírus, transmitido pelo Mosquito da Dengue, veja que tragédia é isso."
94,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/8OAWrQXPxo
95,"E a zika? Onde se enquadra? Mosquitos Geneticamente Modificados Liberados aos Milhões, inclusive no Brasil https://t.co/8hdDjJxisi"
96,imagina a dilma e o lula jogando os mosquitos da zika por todo o brasil nossa realmente culpa deles
97,"Conheça a rede Zika, força-tarefa de 42 laboratórios contra o mosquito Aedes Aegypti - https://t.co/uWepM5Nttw https://t.co/YzTjrc5G0n"
98,"'Combate ao vírus do mosquito Zika' e 'Ninguém é mais honesto do que eu',frases que enchem de orgulho os intelectuais e bolivarianos..."
99,Se a presidenta já mudou o nome do mosquito pra mosquito Zica e disse que o ovo transmite a doença! Estamos fudidos e mal pagos kkkkkkkk
100,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
101,"Qualé a do dia de hoje? Além de tudo, matei 2 mosquitos da dengue no meu banheiro. Sai fora, zika"
102,"Parabéns a Escola Luis Eduardo Magalhães que junto com o NRS N iniciam ação de combate ao mosquito da Dengue, Zika e Chicungunha."
