,tweets_VBN
57,Retweeted Cid Cidoso (@naosalvo):  Tanto mosquito nesse quarto que amanhã eu acordo muleke zika
58,Revogaram a autorização do mosquito. Agora ele está proibido de transmitir Zika e Dengue. @ThaisaRadin @SirMuenster https://t.co/ux1bE9MvgA
59,É a primeira vez que os mosquitos portadores da zika estão presentes na zona continental dos EUA. https://t.co/DsNLY6d2Mb
60,demora me responder que eu jogo mosquito zika virus no seu quarto
61,E a manchete do 'Piauí Herald': 'Mosquito pica Keith Richards e é internado com zika'. https://t.co/EizKJzFOCQ
62,Começo a achar que a melhor forma de se proteger do zika e botar sapos em cada canto da casa
63,G1 A facilidade de disseminação do vírus da zika em mosquitos culex contaminados em laboratório foi confirmada... https://t.co/ehBlzdoKw2
64,'Estudam a possibilidade de mosquitos comuns transmitirem o Zika vírus' gente fudeu
65,"Siga a @InsetChaves e conheca nossa empresa, estrategias e participe ativamente conosco do combate ao mosquito da zika.#VemConosco"
66,Gastei a onda no snap eu mano mosquito da zica
67,"Sobre a Saúde Vamos pôr o mosquito da Dengue, Zika e Chikungunya na Cadeia - Mj. Olímpio. #DebateDaBand"
68,"Começa a aplicação de um novo inseticida para combater o mosquito que transmite a dengue, a febre chikungunya e o zika vírus. Veja no #MGTV!"
69,fazendo a cruz com a unha nesta picada de mosquito para repreender a zika em nome de jesus
70,"@RicaPerrone festa encerramento linda! Foi tudo bom demais!Nem a Zica do mosquito, nem a Zica da @folha atrapalharam a Rio 2016"
71,😮 How mosquitos drink blood. #MosquitoDay #mosquito #Zika #Malaria #insect #nature #wow   https://t.co/A4eph2kRV9
72,Retweeted Olhar Digital (@olhardigital):  Painel simula calor humano para atrair e matar mosquitos do vírus zika:... https://t.co/ShQST3jP4u
73,Chegou a coleção completa de Citronela da Perfubrasil ! Repelente Natural do mosquito que pode transmitir zika... https://t.co/ogsWVA58uS
74,mosquito me pica já fico DENGUE ZIKA VO MORRE
75,"Com a crise só prospera Odebrecht, divida de banco e o mosquito da Zika"
76,E a muriçoca? Cientistas estudam se outros mosquitos também podem transmitir a zika - https://t.co/lXVEQBg9P8 https://t.co/L3LXPLTXpP
77,"E a Fund. Osvaldo Cruz de PE achou o vírus zika dentro do mosquito comum. Lá vem o apocalipse zumbi. Brasil, um país de microcéfalos."
78,E a muriçoca? Cientistas estudam se outros mosquitos também podem transmitir a zika https://t.co/y52yxgV1LG via @tvconexao33
79,Retweeted everton (@nootreve):  Vi uma notícia que o zika vírus é transmitido pelo beijo. Mas que é o louco que vai beijar um mosquito?
80,"Convidamos a comunidade para participar do 'Arrastão de Combate ao mosquito da Dengue, Chikungunya e Zika Vírus,... https://t.co/45XjP9KwH7"
81,Vei a Renata mandou eu fazer um trabalho do Bag da zika e até agr n vejo nenhum musquito mané
82,"Se a nicki não vem pro brasil por causa desse zika virus,ah mas eu vou dar tanto na cara desse mosquito"
83,do jeito que está tendo tanto mosquito aqui em casa eu acho que vou ter zika pela segunda vez.
84,"abri a janela do quarto e nem um ventinho entra, mais fácil entrar o mosquito da dengue/zika"
85,Retweeted Governo de S. Paulo (@governosp):  #Aedesaegypti Combate ao mosquito da #dengue e Zika Vírus começa em... https://t.co/DXkAkAlNk1
86,"sobre a casinha de boneca da minha sobrinha: 'Tia, aqui vou colocar uma placa escrito proibido entrada de mosquitos, e uma foto do zika''"
87,se a alemanha ganhar é so soltar os mosquito zika no vestiario deles
88,"Esperando a Ariel e aproveitando pra pegar uma Zika, ta cheio de mosquito aqui na calçada kkkkkkkkkkkk"
89,"Retweeted Tuxedo Mosquito (@TuxedoMosquitoC):  Bring Zika-Fighting GMO Mosquitos to Puerto Rico, Says... https://t.co/3MNx9mR36O"
90,"É a zika pegou a Hope Solo mas não a do mosquito, que a do frango, tadinha da mina kkk dalhe Colômbia #tipoColombia #COL #COLxEUA #FutFem"
91,daqui a pouco vou pegar um zica de tanto mosquito
92,"fiz a prova de biologia hj, so tinha zika, serio pensei q a prova ia virar mosquito e voar"
93,do tanto que ja fui picada por mosquito hoje certeza que peguei zika virus
94,deus me libre cheio dos mosquito aki pode se o zika querendo me mata nao vai consegui deus eh mais
95,Com a quantidade de mosquito que tem no meu trabalho é um MILAGRE eu ainda não ter pego Zika. Nem Dengue. Nem Chikungunya.
96,ligo a tv  tão falando de zika vírus  troco de canal  tão falando de  mosquito da dengue  coloco no jornal tão falando de  chikungunya
97,@mmaethe e o mosquito? É o zika vírus ? To preocupada maethezinea
98,"Porra a menina que trabalha do meu lado na empresa tá com zika, agora qualquer mosquito que me picar lá vai ser meu fim."
99,@kharalhow e depois que saiu que o mosquito normal tbm passa zica eu fiquei foi doida
100,"Cheguei a uma fase na vida em que tenho mais medo de mosquito que de gente. Me chama pra passear na cracolandia, mas não me chama pra zika.😔"
101,"Do tanto de mosquito q me picou hj vai ser um milagre nos dias de hj se eu n tiver pego uma zika, dengue ou algo do tipo"
102,"E a incidência brutal desses casos está se dando por conta do mosquito da dengue, que é o da zika, que é o da Chicugunya. O mesmo mosquito."
103,Retweeted Fitzcarraldo Çilva (@fitzca):  A pior zika não é aquela que vem do mosquito. A pior Zika é aquela que... https://t.co/I7igVp7BJT
104,do jeito q eu to vendo daqui a pouco o mosquito da zika vai se reproduzir no ar
105,Retweeted Cebolinha Alvivelde (@CebolinhaSEP):  É amigos Vcs acham que a zika é o Mosquito? É pq Vcs não conhecem o Itaquelão
106,"Se a gente for picado pelo mosquito da dengue, pegar zika vírus, a gente vira mano?"
107,"É a microcefalia acomete crianças cujas as mães contraíram o Zika Vírus, transmitido pelo Mosquito da Dengue, veja que tragédia é isso."
108,"Retweeted Reuters Brasil (@ReutersBrazil):  Mosquitos adultos podem repassar Zika para sua prole, diz estudo nos... https://t.co/e7w50sseTp"
109,"Retweeted Estadão (@Estadao):  Mosquitos fêmeas passam zika para ovos e prole, diz estudo https://t.co/7cAuF4yjoh https://t.co/SrdwODVB8l"
110,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/8OAWrQXPxo
111,"E a zika? Onde se enquadra? Mosquitos Geneticamente Modificados Liberados aos Milhões, inclusive no Brasil https://t.co/8hdDjJxisi"
112,Retweeted Radio O Proletário (@RadioProletrio):  E a zika? Onde se enquadra? Mosquitos Geneticamente Modificados... https://t.co/SFoV2WyDnz
113,imagina a dilma e o lula jogando os mosquitos da zika por todo o brasil nossa realmente culpa deles
114,"Conheça a rede Zika, força-tarefa de 42 laboratórios contra o mosquito Aedes Aegypti - https://t.co/uWepM5Nttw https://t.co/YzTjrc5G0n"
115,"'Combate ao vírus do mosquito Zika' e 'Ninguém é mais honesto do que eu',frases que enchem de orgulho os intelectuais e bolivarianos..."
116,Se a presidenta já mudou o nome do mosquito pra mosquito Zica e disse que o ovo transmite a doença! Estamos fudidos e mal pagos kkkkkkkk
