,tweets_pronouns
60,#Aedes #Zika e a (provável) relação entre #transgenia nos mosquitos... algo que eu DESCONFIO MUITO haver uma... https://t.co/mjVU9QP4kd
61,"to c zika de novo, esses mosquitos me amam demais"
62,"Carnaval encerrando e uma certeza. Se peguei zika foi pq o mosquito me picou, o mizeravi."
63,Todo mosquito que eu vejo eu penso logo que é o da Zika!
64,Eu sabia que esses mosquito da dengue ia dar zica
65,"Nossa mano, Lucas me mostrou um post de um cara falando q o zika virus foi implantado nos mosquitos p Pais ganhar dinheiro vendendo remedios"
66,eu to com maior medo do zika virus serio qualquer mosquito faco um escandalo
67,"Eu mato um mosquito, depois procuro o corpo do defunto para a análise de zika"
68,NA LUTA CONTRA O ZIKA: Não podemos perder para um mosquito! Todos juntos podemos por um fim nos focos de... https://t.co/nBjwJetdzT
69,Qualquer mosquito que chega perto de mim agora eu mato por medo de ser o zika vírus
70,todo mosquito pra mim é zika vírus
71,minha tia disse que a homossexualidade vem igual o zika vírus por um mosquito KKKKKKKKKKKKK EU MORRI DE RIR
72,Nss ta tendo tanto mosquito Zica que eu acho que o novo mascote do brasil vai se chamar Brazica
73,"se o mosquito me picar, n vai dar nada, pq zika eu ja sou mesmo"
74,to com tanta picada de mosquito pelo corpo que se uma delas não for dengue/zica/chikungunya é porque deus existe e ainda não desistiu de mim
75,"@kellbrz @_arqueira_ @bbcbrasil o mosquito foi erradicado do brasil nos anos 60, e voltou nos anos 90... Mas a zika é nova"
76,meu irmãozinho tá assistindo a matéria do zika vírus e morrendo de dó do mosquito morto
77,Hoje eu to igual o mosquito To ZIKA mano
78,Minha vida amorosa tá tão parada que tô com medo de dá o mosquito do zika
79,"MEU DEUS, COLOCARAM UNS MOSQUITOS ZICA NO SITE DO TJMG , bicho em 3D, só pode, porque sáporqueira vem pra cima da gente !"
80,"nossa senhora, a página do TJMG me enganou de novo com esse mosquito zika***, vou sair desse çaite' rs"
81,"Antigamente essa hora minha dm não parava, hoje em dia ela ta tão parada que ta com zika de tanto mosquito que tem"
82,"Venho comunicar a todos o seguinte:  O mosquito que me picou e transmitiu a zika foi encontrado morto esta manhã,... https://t.co/ZdoGDxlQ72"
83,"@flysterico OBRIGADAAA,, KKKKKKJJKKKK MINHA MAE DISSE Q TO PARECENDO O MOSQUITO DA DENGUE AI JESUS SOU MUITO ZIKA SIM"
84,hoje fui picado por tantos mosquitos que acho que se eu ficar com zika virus ou dengue ainda é pouco
85,"Tanto mosquito me picou hoje, acho que to com zika"
86,Eu dormi uns dias aí apareceu um mosquito chamado ZIKA. Tá SERTO.  https://t.co/g1WrEkQNc7
87,to sendo picado por muito mosquito  daqui a pouco sou picado pelo mosquito zika la se eu aparece chavoso na tl ces ja sabem o que aconteceu
88,Agora um mosquito me morde eu fico com medo de pega zika ja
89,o medo de pegar zica é maior que tudo eu to matando todos os mosquito aqui famosos carapanas pra gente
90,"Mais do que esperar ações do governo, bora fazer a nossa parte e eliminar os focos do mosquito? https://t.co/Olpuxenxls"
91,Vou dormir... To sentindo que alguns mosquitos me atacaram 😮😮😮 prevendo a zica tour
92,Mosquito me picou aqui. Tá coçando real. Será que é dengue? Ou zica? Ai Jesus
93,"espero q esses, mosquitos q estam me picando n tenham Zica... 👀"
