,tweets_VBN
50,"Si a usted le da zika, dengue, o chikungunya puede culparse a usted mismo a los vecinos que dejaron criaderos de mosquitos."
51,Retweeted Luis Felipe Puente (@LUISFELIPE_P):  Sabías qué... Las hembras del mosquito portador de #Zika depositan... https://t.co/80oqPkdobn
52,"Protege a tu bebé de cualquier picadura de mosquitos, Dengue o Zika, con las Toallitas Anti-mosquitos de #Pigeon. https://t.co/FAL8ZWcMFd"
53,"Retweeted CruzRojaGT (@CRGuatemalteca):  El Aedes aegypti es el mismo mosquito transmisor del Zika, Dengue y... https://t.co/3EVMH7WHPK"
54,Venezolanos a merced de un mosquito y algo mas... https://t.co/9kyj1PwpqH ademas de un gobierno fracasado #Zika https://t.co/8aIe4J8xEN
55,"Llamado a proteger a los ancianos ante el zika, especialmente si hay enfermedades crónicas https://t.co/H78W4Bg0gM https://t.co/C2TsmFH831"
56,Cuida a tu bebé usando repelente para mosquitos. Conoce más acerca del Zika. https://t.co/cgqnWwc25K
57,Voy a salir con zika y chikungunya con tantos mosquitos que hay en la uprp
58,Retweeted Act Panamericana (@actualidadpanam):  Con bolsas de agua gigantes espantarán mosquito del zica en... https://t.co/YIA4LRPSzE
59,Proteja a sus niños de las picaduras de mosquitos con repelentes aprobados por la EPA: https://t.co/25YBjBs7Vh https://t.co/lEvYBKz3LK
60,Retweeted Nacersano baby (@nacersanobaby):  Del blog de Nacersano: Cómo protegerse contra el virus del #Zika:... https://t.co/P9SwhjXO4F
61,Retweeted nacersano (@nacersano):  Lo más importante para evitar #Zika es evitar las picadas de mosquitos y los... https://t.co/0aesXPsOwO
62,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/ubhlefEjTy
63,Protege a tu familia del mosquito transmisor del #Zika con @Radarcan https://t.co/LRPsefwYYA https://t.co/HgCfZJ6rPL
64,"Retweeted UOL Notícias (@UOLNoticias):  Por devorar mil mosquitos por hora, morcego vira arma contra a zika nos... https://t.co/dL7W6Pzdn2"
65,Retweeted La Voz (@EldiarioLaVoz):  Mosquitos “resistentes” al zika y el dengue esparcen en Colombia y Brasil... https://t.co/dhEznKP5N2
66,Retweeted teleSUR TV (@teleSURtv):  El mosquito que transmite el #Zika es el mismo de la Chikungunya... https://t.co/w4als8K1qt
67,"Retweeted Celia Rivas (@CeliaRivasR):  El combate del mosquito del dengue, chikungunya y zika es una lucha que... https://t.co/EHH9rxzkpC"
68,Todos a prevenir el #ZIKA para protegernos y a nuestras familias https://t.co/0Ml5KT5Gkr
69,"Exhortan a participar en el combate del mosquito transmisor del dengue, chikungunya y zika https://t.co/LYn7Ty6IoT @Dimaxtv"
70,"EXHORTAN A PARTICIPAR EN EL COMBATE DEL MOSQUITO DEL DENGUE, CHIKUNGUNYA Y ZIKA https://t.co/c1RwTB9Pea vía @El+https://t.co/C0qgGQpLsr"
71,"Exhortan a participar en el combate del mosquito transmisor del Dengue, Chikungunya y Zika https://t.co/pykEyb5uL3 https://t.co/lpcVqrHd0O"
72,Ya me imagino a los mosquitos del zika picándote  y dejándote un mensaje con labial en el baño.
73,Retweeted Capital México (@CapitalMexico):  #Gráficos El ataque de mosquitos. El virus de zika continúa... https://t.co/88kGHdU73D
74,Retweeted UNICEF Venezuela (@unicefvenezuela):  Protégete del #Zika. Evita las picaduras de los mosquitos... https://t.co/5yWuyd2O5o
75,Retweeted Fair Play (@FairPlay_1986):  ¡Entérate de las últimas novedades del mosquito Zika que pone en peligro a... https://t.co/M1a1PInvHG
76,"Retweeted MinSalud (@MinSaludCol):  Ensayos de control biológico al Aedes aegypti, mosquito transmisor de zika,... https://t.co/PHbWzyzF2V"
77,"Retweeted MINSA Panama (@MINSA_Panama):  Nuestras acciones contra el mosquito, prevendrán enfermedades por Zika y... https://t.co/K4BuubAQqB"
78,Retweeted TunasVisión (@TunasvisionTV):  #Operación #salud en #LasTunas https://t.co/1RmGvQvQ1m #mosquito #zika... https://t.co/DhxMCaqceL
79,Tengo a mil mosquitos revoloteándome y no estoy haciendo nada al respecto zika y dengue ya los 100tooo
80,Retweeted Univision Salud (@UnivisionSalud):  Millones de mosquitos serán 'vacunados' para combatir el zika en... https://t.co/ZUkplK9SZp
81,Ya a 5 familiares les ha dado el Zika y ando paranoico con los mosquitos
82,Retweeted SEGOB México (@SEGOB_mx):  ¡Protégete! El mosquito transmisor del #Dengue #Chikungunya y #Zika vive en... https://t.co/rWMmzVhqy4
83,@DavisZone  Brasil combatira el zika con millones de mosquitos machos esterilizados mediante radiación para que se apareen con hembras
84,si me pica el mosquito del zika voy a estar todo el dia cantando  rasca  zika  rasca zika zika  nanananananaaaaaaa
85,"hoy me picaron tres mosquitos en montevideo, dengue/zika/chikungunya ya te siento"
