,tweets_VBZ
56,"Viajas a algún país afectado por el #Zika? Protégete con Normopic, tu barrera frente al #mosquito portador del virus https://t.co/xzuVcW5VgJ"
57,"Si a una persona le pica un mosquito con Zika, uno con Chikungunya y uno con Denge, se crearia el Zikangunyengue? 😕"
58,gente me pico un mosquito en EL MEDIO DE LA FRENTE ya 100to el zika fluyendo por mis venas
59,Get Our Repellent &amp; Lose Your Bugs ....Now! #noseeums #mosquito #zika #bestrepellent #bmrtg https://t.co/g0LWQfynvj
60,Tucumán A las 7 Secretaría de Salud pide reforzar prevención ante proliferación del mosquito de zika… https://t.co/sCr9CTA108
61,Preocupa a diputados que el calor genere propagación del mosquito del Zika - EosNoticias: https://t.co/chwStrecqK
62,"Ya me dio dengue y chikungunya.. Ahora tengo los síntomas del zika, los mosquitos me odian😭😷😷"
63,Vengo a contar que tengo una roncha del tamaño de mi dedo pulgar y seguro me pico un mosquito con zika.
64,Catch 22 Zika Mosquitos #CurrentEventAStory
65,"Únete a la #Zikatrón. Si vives o viajas a una zona afectada por el zika, protégete del mosquito y usa condón en tus relaciones sexuales"
66,Enseñe a sus hijos que las picaduras de mosquitos son malas con el libro de actividades de los CDC sobre #Zika. https://t.co/rkMNkIlMsq
67,Proteja a sus niños de las picaduras de mosquitos con repelentes aprobados por la EPA: https://t.co/rHHpF37VDr #Zika https://t.co/SndQv4Chxx
68,"Preguntan a 1 regatista español q compite en los juegos sobre zika y responde'somos más peligrosas las brasileñas,q los mosquitos' crack!!"
69,—¿Qué me harías si estuviera desnuda en tu cama? 😏  —Te cubriría con mi mantita para que no te pique un mosquito y te de Zika princesa.  - 😒
70,"fui a las barrancas y me comieron los mosquitos , con la liga que tengo me agarro zika"
71,EXHORTAN A POBLACIÓN A ESTAR ALERTA ANTE POSIBLE DE MOSQUITOS #Lluvia #Salud #Zika #NotiRey… https://t.co/wWrWjsvniy https://t.co/KGD1b2yay8
72,Van a liberar mosquitos modif genéticamente para combatir el zika en los Estados Unidos https://t.co/PgujBdeXop
73,Ya me picaron tantos mosquitos que seguro tengo dengue zika y chikunguya
74,Exhortamos a la población a continuar evitando la formación de criaderos de mosquitos transmisores de la enfermedad. #ZikaVirus
75,Check out this site: http://t.co/ihTnERKDNU. El Virus Zika es una amenaza real para los dominicanos. Cuidado con el mosquito Aedes Aegypti.
76,Viajará a regiones tropicales este verano? Aquí algunos consejos útiles pa' protegerse contra los mosquitos y #Zika. https://t.co/jfjhdngG3C
77,Ya me jodi si los mosquitos tienen zika en la uni
78,Someterán a referéndum uso de mosquito transgénico para combatir el vector del Zika https://t.co/SNL8rwCPL9
79,Solo a mi se me ocurre calcar el mosquito del zika y que me quede como una cucaracha 😈😂
80,cuando me pica un mosquito me recorro toda la casa buscandolo a ver si no tiene manchas blancas y es el dengue o zica porque TRAUMADA
81,"Si a mi esposa la pica el mosquito del zika, me sale un hijo zikario?"
82,hoy me picó un mosquito ojalá sea karma por lo que dije ayer y me muera de zika
83,"Protege a tu familia del #zika, #chikungunya y del #dengue con este #repelente natural contra mosquitos. Combina... https://t.co/jCkCpuBcBz"
84,"grave no son los huertos si no la mentira,no hay agua,con una epidemia de zika,dengue,chikunguya a criar mosquitos https://t.co/C2CqxcceYm"
85,Voy a llegar a casa con el zika si siguen los mosquitos así
86,Previo a la descacharrización se entregaron folletos informativos para prevenir el mosquito del Zika.
87,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. https://t.co/Ap3EHkZfR3
88,"Voy a empezar a criar mosquitos con dengue, zika y chikungunya. Me tienen harto los vecinos con la cumbia y la mordidita y toda esa mierda."
89,Ya me gozaron mas de 20 mosquitos ahora hay que ver si es dengue o zika...
90,"Todos a combatir al mosquito portador del Dengue, Chicungunya y Zika. #TachiraNoEsTerrorismo https://t.co/lKwjDb6qdO"
91,Voy a importar el repelente para mosquitos con zika #IdeaMillonaria
92,Llega a Chile mosquito que transmite el zika https://t.co/HwSqpZxdST
93,"Protege a tu familia de enfermedades causadas por el mosquito del dengue, zika y chikungunya. https://t.co/bXvKddIKCs"
94,exhorta a continuar eliminando criaderos de mosquitos https://t.co/JoDw845APE https://t.co/A4jgDUTxSk
95,Únete a la Jornada de Eliminación de Criaderos del Mosquito #AedesAegypti en tu comunidad.#Zika #Dengue #Chikungunya
96,Sobreviví a todos los mosquitos menos al zika 😭😭😭😭
97,"ZIKA  a si se llama el nuevo mosquito , a cuidarnos gente."
98,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/awVZk8GwQ8
99,"Todos a cumplir con estas acciones para la prevención del mosquito transmisor del dengue, chinconguya y zika.... https://t.co/v2k3KCpWIO"
100,"Combate a Zika, Dengue y Chikungunya para proteger a familias de Centro https://t.co/nyVmJsqYPU https://t.co/fQPOOcLVJK"
101,"Combate a Zika, Dengue y Chikungunya para proteger a familias de Centro https://t.co/GbOgFBMO6M vía @sinremitente21 @NoheliCerino"
102,Únete a la Jornada de Eliminación de Criaderos del Mosquito #AedesAegypti en tu comunidad.#Zika #Dengue #Chikungunya https://t.co/pzymWPysCX
103,Únete a la Jornada de Eliminación de Criaderos del Mosquito #AedesAegypti en tu comunidad.#Zika #Dengue #Chikungunya
104,Chicos me picó un mosquito y tengo todo el brazo dormido seguro es el zika bamosss
105,Únanse a la campaña de prevención del ZIKA. Eliminen los criaderos de mosquitos #TodosContraElZika 💪 https://t.co/1rUiVfTcHo
106,se me acerca un mosquito y ya me desespero porque pienso que es dengue zika y todo junto
107,"Voy a llamar a la oficina,  decirles que estoy con anginas, que me picó el mosquito del Zika y pego alto faltazo♫"
108,"Pese a hallazgo de mosquito, Virus Zika no representa aún un riesgo en Chile Continental https://t.co/H9QK1L1my1 https://t.co/2RtuPz1pVK"
109,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/E8vBDDLKmC
110,"Casa a casa fumigamos para eliminar el mosquito del Zika, Dengue y Chikungunya. #TodoPoTuCalidadDeVida. https://t.co/gtxFsXgIFw"
111,Llego a Arica escapando del temporal en stgo y ahora encuentran al mosquito del Zika
112,Llega a Chile mosquito que transmite el zika https://t.co/WytRXicl9v | https://t.co/oTOX3I9XUR https://t.co/W2CelczNbX
113,Llega a Chile mosquito que transmite el zika https://t.co/1M4qcGiQa9
114,Llega a Chile mosquito que transmite el zika https://t.co/AtV5frPa2t | https://t.co/Qew6MmUPgn https://t.co/C6JghAF68Q
115,Llega a Chile mosquito que transmite el zika https://t.co/OOlpLWly13 | https://t.co/e2tnW1hEBD https://t.co/2avh1MqIXn
116,Llega a Chile mosquito que transmite el zika https://t.co/s7KVKLAJvX | https://t.co/5fuGwutcC3 https://t.co/sbpCfxvxIO
117,Llega a Chile mosquito que transmite el zika https://t.co/efNRMronuE | https://t.co/43jxVu5tsZ https://t.co/PZHhr4YJSq
118,Llega a Chile mosquito que transmite el zika https://t.co/H5yrEc860Y | https://t.co/j6e8kDKcdP https://t.co/7kliSWaXLr
119,Llega a Chile mosquito que transmite el zika
120,Llega a Chile mosquito que transmite el zika https://t.co/jMcs6GpPRI | https://t.co/TK3o86haWz https://t.co/m32a8O0Sjd
121,Llega a Chile mosquito que transmite el zika https://t.co/dpb2UKTY6B
122,Llega a Chile mosquito que transmite el zika https://t.co/FAJtO6kCzi | https://t.co/9pvinTW680 https://t.co/eQn9rgBxND
123,Llega a Chile mosquito que transmite el zika https://t.co/paIdIjnSAI | https://t.co/Pq5au68xKV https://t.co/2eU9wHuu5K
124,"Llego a Chile mosquito del Zika, más en #7AM, con @LibardoBuitrago en terreno @RogerConductor en el @FMConquistador 91.3"
125,Llega a Chile mosquito que transmite el zika https://t.co/3q1j8Xrxhl
126,Llega a Chile mosquito que transmite el zika https://t.co/KnjgnnCECB | https://t.co/6sRfXwlGkK https://t.co/q1P7yAQiVD
127,Y a las 6pm se ponen los mosquitos intensos y supuestamente hay alerta por el zika @MINSA_Panama @CastaliaPascual @tvnnoticias
128,"Si a una embarazada la pica un mosquito infectado con el virus del Zika, el bebé puede nacer Sietecase. https://t.co/vlxlZlqMyR"
129,Educando a las comunidades combatimos la propagación de los mosquitos aedes aegypti. #Zikavirus https://t.co/UqEikpZ7rB
130,"Echan a todos de sus puestos de trabajo pero ojo, cuidemosnos del mosquito matapobres. #AedesAegypti #ZikaVirus  #JuevesIntratable"
131,se me para un mosquito y ya flasheo zika
132,"se me caGO EL VENTILADOR Y NO TENGO AIRE, ME ESTOY MURIENDO Y APARTE HAY MUCHOS MOSQUITOS, ZIKA, DENGUE LOS SIENTO"
133,Ver a un mosquito y tener miedo que te de dengue zika zuki zaki y la concha de la hermana del puto mosquito
134,"Si a Petete Martínez lo pica un mosquito con Zika, se muere el mosquito."
135,"Súmate a la Jornada Nacional Contra El ZIKA, evita los criaderos de mosquito Aedes aegypti. #TodosContraElZika https://t.co/dnbuHHPAqi"
136,ya me pico un mosquito seguro tengo el zika DIOS ME OIGA
137,"Regreso a casa y   OH SORPRESA !   SIN LUZ @ANDEOficial   Por favor 🙏🏻😭🙏🏻😭  Barrio Seminario , mosquitos , dengue , zika !  CALOOOR !"
138,¿Vas a viajar a #Brasil a los #JJOO? Con nosotros estarás protegido del #Mosquito del #Zika! https://t.co/XEMZ8SeigS
139,@QPachow #YaUrgeQue muera tanto mosquito primero chincon no se q y ahora Zika!!! Ya espantalooo @OyeGustavoTello  https://t.co/Po5U2Xp3iW
140,Llega a México virus de Zika transmitido por el mosquito https://t.co/qC6MXJhhTg
141,"Protege a tu familia de los piquetes de mosquito para evitar enfermedades como el zika, dengue y chikungunya. https://t.co/FimiCL2nB1"
142,"Protejan a sus familias de los mosquitos para evitar contagiarnos de dengue, chikungunya y zika. La salud es primero https://t.co/4wMMWmyoMu"
143,Enseñamos a nuestros consumidores a realizar gel anti bacterial y contra los mosquitos para prevenir el Zika. https://t.co/gaHP0KHG4b
144,"Ya me picaron como 82747273 mosquitos, ya teno zica, dengue, chicungunya y todo el pedo"
145,"Ya me picó un mosquito, si me va a dar el virus Zica, que sea pa' rebajar."
146,"Volvemos a lo mismo, el Zika no es un mosquito @elcircodelamega @pamelanoa @FunkyJoeElCirco @cheboricua"
147,Protege a tu familia! Usa repelentes con DEET para + protección contra mosquitos portadores d Zika #ProtégelosconOFF https://t.co/JThFdq5ntr
148,Vas a ser #Mamá en esta época de #Zika?  DEBES #PROTEGERTE de las picaduras de los #BICHOS… https://t.co/GBS3nKtPt3
