,filtered_tweets_pt
3833,O mosquito da zika pode estar escondido em sua cozinha https://t.co/vGcLPrAVAM
3834,"Acabei de matar um mosquito enorme aqui, era o ZICA com certeza."
3835,Até o mosquito é zika e VC não kkkkkkk
3836,admito q no inicio da onda do virus zika eu achava q qd a gnt era picado pelo mosquito a gnt comprava oakley abercrombie nike air hollister
3837,Mosquitos aqui ta f... Se for o zika virus lasco kkkk o que vocês estão fazendo bonitos ?   #Young
3838,Gostei de um vídeo @YouTube de @talvanesaraujo https://t.co/36EK9tOfbd MosquitoTransgênico - Zika e Microcefalia - Qual a Relação?
3839,"vi um post no facebook falando que a culpa do zika virus era dos mosquitos transgênicos, fui desmentir e me mandaram 'como vc tem certeza?'"
3840,Meus planos de aula que merecem ser chamados de ZIKA não esses coitados dos mosquitos
3841,@Branquelo_07 @udanges_h3 uma HR dessas olha a zica em 😂😂😂 cuidado com os mosquitos kk
3842,"te, umas 3 conhecidas pegaram o zika vírus to com medo. fui picada por tanto mosquito aqui nesse quarto"
3843,"Itaperuna – ATENÇÃO! Ofertas da Semana DROGADAMAS! Repelente Natural contra o Mosquito da Dengue e Zika Vírus,... https://t.co/VvFNymcj60"
3844,qualquer mosquito que passa do meu lado é da dengue ou zika vírus sigo traumatizado
3845,"Eu sempre tive panico de mosquito, inagina agora que eles tao passado varias zika loucas pra populaçao"
3846,Aprenda a fazer uma vela de citronela super repelente que mantém o mosquito da dengue (e zika)... https://t.co/xa6oSyqV5e
3847,"To cheia de medo, vai que é o mosquito da zica 👌"
3848,"Esse mosquito da dengue ta com vrs nome kkkk e zika , chikungunha , pernilongo , aeds Egipt"
3849,@pequenapx1245 tentei mas os mosquito da zica n deixaram
3850,Todo mosquito que eu vejo penso que é o da dengue/zica/esqueci a outra
3851,Policial  civil  salva  menor  do zika  vírus  bem  na  hora  que  o mosquito  ia  fazer  uma  nova  vítima https://t.co/eSdYXesC8j
3852,"@AdinaCarvao @Estadao Sim! Tanto pelo controle do mosquito qto pela introdução do Zika no BR q, tudo indica, foi durante a 'Copa das Copas'"
3853,#OperacaoBetaLab  Apenas repelente não é suficiente para evitar picada de mosquito do zika https://t.co/RbLd5CwF85 #RT
3854,Gostei de um vídeo @YouTube de @ninnjanoob https://t.co/cQhXvc2vj5 Plague Inc: Evolved ☯ DENGUE!!! FUI DERROTADO!?! (MOSQUITO ZIKA
3855,Apenas repelente não é suficiente para evitar picada de mosquito do zika: A principal orientação do Ministério da… https://t.co/ykn1aPtEIB
3856,Pediatras dão dicas de como proteger as crianças da zika  - https://t.co/M2UjWoirbo
3857,Edição 004 do jornal euamomeubairro: Zica: o melhor caminho é não deixar o mosquito nascer.  A população também é... https://t.co/Oz05SPjOKK
3858,Como grávidas podem evitar zika vírus e proteger o bebê da microcefalia; veja https://t.co/ksdvQieYZz
3859,Vamos acabar com quem leva o vírus?  Os mosquitos nascem em qualquer local ou quantidade de água parada https://t.co/xVEJdxJNSL
3860,"O Ministério da Saúde (MS) já estabeleceu uma relação entre o zika vírus, transmitido pelo mosquito Aedes... https://t.co/tOX3iVlyiz"
3861,"Agentes do combate à #Dengue, #Chikungunya e #Zika estão no bairro São Jorge. A luta é diária no combate aos mosquitos.Colabore!"
3862,"Policial salva menor do zica vírus,  bem na hora que o mosquito iria fazer mais uma vítima. https://t.co/BLWtRoZtBq"
3863,já que a PF pretende visitar todas as casas do Brasil até o final do ano eles podiam aproveitar para ver se não tem focos de mosquito Zika
3864,"ZIKA VÍRUS: Em Poxoréu, gestantes vão receber repelentes para se protegerem do mosquito  Leia aqui: https://t.co/yCMLLj2qR1"
3865,Gostei de um vídeo @YouTube de @talvanesaraujo https://t.co/lfFsnS8HHX MosquitoTransgênico - Zika e Microcefalia - Qual a Relação?
3866,"Essa noite fui mordida por todos os mosquitos possíveis, Deus queira que nenhum deles tenha me transmitido 'zika'"
3867,"Pause o vídeo e descubra as maneiras de combater o mosquito transmissor da Dengue, Zika e Chikungunya. #CombateAedes https://t.co/lZz3RNDUZq"
3868,Wpp mais parado que água do mosquito zica
3869,"@senna_yasmim zika vírus, aquele negócio do mosquito"
3870,#Zika #viros deve ser um mosquito funkeiro 😂😂
3871,"Agora tem aquele mosquito 'zika' , to afinada"
3872,Pediatras dão dicas de como proteger as crianças da zika  Casas equipadas e kit de proteção dentro da bolsa. A... https://t.co/iJ5kvoWJmI
3873,"Tinha um mosquito bem.listrado querendo me picar, que não tenha sido o da zika, meu pai matou ele 😰😵"
3874,'Aih Meu Deus! Ninguém se mexe! É o mosquito da zika!' //// A mulher ainda pegou a sandália para matar o besouro na calça do homem!  😂😂😂
3875,Joinville promove ações de combate ao mosquito transmissor do zika vírus. https://t.co/dXANGZwiUu #ficaligado https://t.co/YmgMqP1SVu
3876,"Policial salva menor do zica vírus,  bem na hora que o mosquito iria fazer mais uma vítima. https://t.co/6dQ6o2YlHr"
3877,nada da certo pra mim to começando achar que fui picado pelo mosquito zika
3878,"Você já sabe que o mosquito Aedes aegypti é o responsável pela transmissão da chikungunya, da dengue e do zika... https://t.co/2eIEx7bJ9i"
3879,"Lançamos hoje o grande Dia D de Cidadania contra o Mosquito Aedes, combatendo o Zika Vírus e a Dengue. Já... https://t.co/ctUdSWie7L"
3880,Encontrei um mosquito com zika vírus aqui https://t.co/4eeyMZO3Xj
3881,"@bemestar A transmissão do Zika vírus. É  só  através do mosquito ou pode ser transmitido por, amamentação, ato sexual e Tx de sangue"
3882,"@heeey_raissa 'Olha que belo exemplar de mosquito transmissor do zika vírus, deixa ele me picar em prol de tamanha beleza' ISSO NÃO EXISTE"
3883,"DEET tem eficácia comprovada na proteção contra o mosquito transmissor dos vírus zika, dengue e chikungunya https://t.co/BgLdj93ZDW"
3884,"Tem muito mosquito aqui, socorro! Se eu pegar Zika já sabem onde foi"
3885,"Vacina vencidas causaram o Zica vírus, e não o mosquito da dengue. https://t.co/AYquZc1SIC https://t.co/JkWyhyJdfl"
3886,Gostei de um vídeo @YouTube de @ninnjanoob https://t.co/Bw5J9DTnO5 Plague Inc: Evolved ☯ DENGUE!!! FUI DERROTADO!?! (MOSQUITO ZIKA
3887,Agora qualquer mosquito que me pica já acho logo que é Zica kkkk
3888,"Além da dengue, o mosquito Aedes aegypt transmite a febre Chikungunya e o Zika Vírus . Reserve… https://t.co/hFRciniALU"
3889,"Min. Marcelo Castro apresenta ações p/ enfrentamento do mosquito da dengue, Zika e casos de microcefalia #MSCAMARA https://t.co/oTC4WzV6O6"
3890,@Victor_Brasil29 eu que sou o mosquisto da zica cusao
3891,"acho que o mosquito do virus zica me picou, pq to escutando funk"
3892,Esse mosquito da dengue é zika
3893,Acho que o mosquito zika picou minha prima
3894,"O mosquito Aedes Aegypti, além de transmitir a dengue, ele também é o transmissor do Zika Vírus. Uma doença que... https://t.co/ErkJHYr0s9"
3895,"Estamos diante de uma tragédia que ainda não conhecemos a verdadeira proporção, a microcefalia causada pelo mosquito da Dengue:ZIKA"
3896,É tanto mosquito q não sei como ainda não peguei zica
3897,Apenas repelente não é suficiente para evitar picada de mosquito do zika - Notícias - Saúde https://t.co/Mrm0z0cJZE
3898,"“Mosquito do bem”: Mosquito transgênico como alternativa no combate a epidemias de dengue, zica vírus e... https://t.co/Q7GurrTt6R"
3899,Zika vírus é um mosquito com o boné da cone crew
3900,@Laeniat E por que usaram 'mosquito da dengue' se o foco é no Zika?
3901,"Pause o vídeo e descubra as maneiras de combater o mosquito transmissor da Dengue, Zika e Chikungunya.... https://t.co/7SDA8LFZKT"
3902,Pediatras dão dicas de como proteger as crianças da zika | Andre Mansur https://t.co/2hKIjzsfE3
3903,"Sem nenhum caso de zica vírus, Gurupi faz Dia D da Faxina em combate ao mosquito transmissor ... Saiba mais no... https://t.co/20eCUAqXxZ"
3904,"@EstiradaNaBR já não basta mosquito d dengue, zica, governo corrupto.. Ainda vem mais essa tragédia ..misericórdia 🙈🙈"
3905,@SenadoFederal De alguma forma a FIOCRUZ deveria ser punida. Aqueles mosquitos trangênicos soltos na BA infestaram-se de ZICA e XICUNGUNHA!!
3906,"se uma pessoa for picada pelo mosquito transmissor do Zika vírus, vira funkeiro?"
3907,@oatila Qual o nível de confiabilidade no combate ao Zika em projetos que utilizam o mosquito aedes modificado geneticamente? #perguntatila
3908,Prefeitura avalia uso do 'mosquito do bem' na luta contra o Zika vírus. https://t.co/26vcMUnRPx
3909,Quando ouço falarem do mosquito zika vírus eu já imagino um mosquito com boné de aba reta
3910,"Medida seria adotada como forma de impedir a proliferação do mosquito Aedes Aegypt, transmissor do Zika Virus,... https://t.co/aCgx1HGq14"
3911,"Se Dilma fosse cientista, ela teria criado o virus Zika e injetado no mosquito da dengue pra ver o que dá..."
3912,Acho que fui picada pelo mosquito do zika vírus pq hoje eu to muito zik@
3913,Apenas repelente não é suficiente para evitar picada de mosquito do zika https://t.co/W3d2RmsJ49 via @UOLNoticias @UOL
3914,Gostei de um vídeo @YouTube de @ninnjanoob https://t.co/ve2TVAERqT Plague Inc: Evolved ☯ DENGUE!!! FUI DERROTADO!?! (MOSQUITO ZIKA
3915,Repelente não é capaz de evitar o mosquito do zika vírus https://t.co/edjyKsP5ts
3916,@radioitatiaia Essa de que o mosquito da dengue provoca a zika e microcefalia é mais um papo furado do governo. Tem algo mais podre nisso!
3917,MosquitoTransgênico - Zika e Microcefalia - Qual a Relação? https://t.co/s03e7Kr1lb
3918,"O zika vírus é uma infecção causada pelo vírus ZIKV, um vírus transmitido pelo mosquito responsável pela... https://t.co/8BQ9GeBThJ"
3919,ate o mosquito e zika e vc não
3920,"Proteja sua família da Dengue, zika, chikungunya e dos males causados pelo mosquito Aedes aegypti.... https://t.co/nUOmLlSlNZ"
3921,"Que tal reservar o sábado para combater esse mosquito que, além de dengue, agora transmite chikungunya e zika? https://t.co/mgtqiqP9ep"
3922,ANS reforça campanha contra mosquito transmissor da dengue e zika: Com o intuito de disseminar as orientações ... https://t.co/uu77ImDgdl
3923,"@AmorimAlaor A estratégia visa combater o Aedes aegypti, mosquito transmissor da dengue, febre chikungunya e do zika vírus."
3924,Prefeitura avalia uso do 'mosquito do bem' na luta contra o zika vírus https://t.co/nlaJlx8bzN
3925,queria saber quem foi o gênio que decidiu chamar o mosquito de zica
3926,Repelente não é capaz de evitar o mosquito do #zikavirus  https://t.co/oM0sVczYok   #dengue #QuartaComOClubeSDV
3927,"Sem nenhum caso de zica vírus, Gurupi faz Dia D da Faxina em combate ao mosquito transmissor: https://t.co/GV1AxyExy9"
3928,"IR3535 Repelente contra o mosquito que transmite a #DENGUE, #Chikungunya e #ZIKA vírus indicado… https://t.co/6RxTVNrO2a"
3929,Apenas repelente não é suficiente para evitar picada de mosquito do zika https://t.co/yzz6wt5pIh
3930,"Com o recurso, municípios poderão fortalecer o combate ao Aedes aegypti, mosquito transmissor da dengue, zika vírus… https://t.co/Qd8BK9kyHG"
3931,"IR3535 Repelente contra o mosquito  #DENGUE e #ZIKA vírus para #Crianças, #Gestantes https://t.co/MbEUreSa4M https://t.co/1yMVy9bnJT"
3932,Governo vai rever portaria que reduzia combatentes do mosquito do zika. https://t.co/yR27s2cUkm
3933,"Agora virou 'mosquito do zika'... Aff. Não custa dizer Aedes, viu? É mais curto e ajuda a educar a população https://t.co/TSEUBGetgz"
3934,"Você já sabe que o mosquito Aedes aegypti é o responsável pela transmissão da chikungunya, da dengue e do zika... https://t.co/6o2pvQ3lBW"
3935,"Principal preocupação em São Miguel do Oeste é em relação ao mosquito vetor da Dengue, Zika e Chinkungunya. https://t.co/nFvoXMwFr5"
3936,Sociedade Brasileira de Dermatologia do RN orienta população sobre uso de repelentes ao mosquito transmissor da Zika https://t.co/XR0maESsMg
3937,ANS reforça campanha contra mosquito transmissor da dengue e zika https://t.co/eSnR4G37Nb https://t.co/sihevQf2zP
3938,Zika: saiba quais os repelentes mais indicados contra o mosquito Aedes aegypti https://t.co/kEXUJLUN3T https://t.co/SMAJaV1JmW
3939,tem muito mosquito da zika aqui!
3940,"O zika virus é transmitida pelo mosquito aedes aegypti, o mesmo transmissor da dengue e da febre chikungunya."
3941,Apenas repelente não é suficiente para evitar picada de mosquito do zika https://t.co/7bhQyLzP6d
3942,Pediatras dão dicas de como proteger as crianças da zika | Andre Mansur https://t.co/D3tzQsNTLO
3943,"Sem registro de casos, Gurupi realiza Dia D da Faxina em combate ao mosquito transmissor do zika vírus https://t.co/iesMX9roYZ"
3944,"Governo vai rever portaria que reduzia combatentes do mosquito do zika: O ministro da Saúde, Marcelo Castro, d... https://t.co/HmXZ1PtSDm"
3945,"Vamos acabar com a Dengue, a Zika e a Chikungunya. Um mosquito não pode vencer esta guerra. @gnatalini https://t.co/GrcyHAttbU"
3946,Tem um mosquito espalhando Zica no País inteiro. Uma conferência sobre isso seria bem vinda https://t.co/4f9o1bgVbL
3947,"Defesa natural (e bonita) contra o mosquito AEDES AEGYPTI (dengue, zika, chicungunha) https://t.co/3icutZwUV1"
3948,Até o mosquito é zika e vc n
3949,"Após surto de microcefalia, governo recua e vai rever portaria que reduzia agentes de combate ao mosquito do zika - https://t.co/mEZaDOm7zH"
3950,Governo vai rever portaria que reduzia combatentes do mosquito do zika https://t.co/ojNq3EeyZV https://t.co/JV9Om1DSEe
3951,Tem tanto mosquito me comendo que eu vou pegar zika vírus
3952,Zica Vírus é uma vacina de Rubéola vencida cedida pelo governo? Ou o mosquito da Dengue mesmo? De Qqr forma mais uma pro povo sofrer!
3953,Uma pergunta às autoridades de saúde: o mosquito aedes aegypti afeta usuários da auto-hemoterapia? -  https://t.co/wnLCcLjQTD  #dengue #zika
3954,"Para quem não sabe o WhatsApp vai ficar fora do ar por 48 horas, motivo: mosquito zika"
3955,Governo teme que distribuição do repelente diminua combate à mosquito transmissor do zika https://t.co/GVUG0N3n3l
3956,Acabei de da uma voadora num mosquito do zika virus aqui
3957,#AedesAegypti: ANS reforça campanha contra mosquito transmissor da dengue e zika. https://t.co/inkyjZcIV5 https://t.co/cdG3n7HKCL
3958,"O zika tb é transmitido por sexo e doação de sangue, só vai  sobrar mosquito no planeta"
3959,Meeting Brasil.Josy Tavares Tavares...ISSO E NORMAL O DOENÇA DE DA ZIKA MOSQUITO?...O BLOQUEIO E COISAS DE PESSOA... https://t.co/gWqU3L7qJy
3960,"Em tempos de dengue, chikungunya e zika, decidi pubicar uma série que escrevi que detalha como podemos proteger... https://t.co/JQ9zKZPAUO"
3961,Do nada aparece esse zika vírus; não consigo acreditar que vem no mosquito
3962,Policial  salva a vida de um bandido do mosquito Zica Vírus !!!!  Que lindo esse policial merece… https://t.co/9n7eYKC3v2
3963,@zerotoledo Ou determinar que o Aedes Aegypti não transmita mais o vírus Zica. O problema vai ser a entrega da intimação ao mosquito...
3964,Qual melhor repelente contra o mosquito Aedes aegypti? #Health #dengue #zika https://t.co/R7XFJKhp4W
3965,&gt;Sociedade Brasileira d Dermatologia do RN orienta população sobre uso de repelentes ao mosquito transmissor da Zika https://t.co/PfnTXiN0DY
3966,"se esse mosquito da zica me picar da em nada não uaiiii, sou todo zicado!!!! essa do wpp me rebentou"
3967,"Acho que fui contaminada pelo zica vírus, pq esse mosquito é muito daorah 💉"
3968,"Policial salva menor do zica vírus, bem na hora que o mosquito iria fazer mais uma vítima. https://t.co/7PV1hdeXkz"
3969,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC https://t.co/AOoJb5M5tl"
3970,"poxa eu peguei zica, pq isso mosquito, eu sou tão gente boa!!!"
3971,"Melhor paródia que as meninas da escola fizeram: -Eu,tu,nós mata o mosquito,a gente chegou,é o exterminador de zika vírus  SÉRIO,FICOU D+ 👏"
3972,N posso ver um mosquito que eu já ' n me segura vou matar o mosquito da zica e afins ' 😂😂😂👎
3973,Acho que o mosquito acabou de me zika
3974,"REFLEXÃO DO DIA: Num to pegando nem o zica virus menina O mosquisto pica a cidade inteira Mas em mim, nada Nem assim chego perto de pica"
3975,se o mosquito não pika tchau zika
3976,Gente que doença de zica esse mosquito ta fazendo a festa
3977,"O mosquito não me passou dengue nem Zika, mas pô... Que tentativa! Me roubou meio litro de sangue, o viado! https://t.co/8gOu0UIGGt"
3978,"já peguei dengue esses dias, agora se eu tiver com Zika...... vo vira exterminadora dos mosquito"
3979,"Dengue, Chikungunya, Zika Vírus... até o mosquito já é formado em três áreas e eu ainda não decidi o que fazer."
3980,#Agropaulos #Megafog #ControleDePragas #Fumacê #Aedes #Dengue #ZikaVirus #Chikungunya #Mosquito #EspíritoSanto #BR https://t.co/QnAelFjtPT
3981,"Carla vira pra m e fala : Amiga o zica vírus ta voando ' ,ai eu : Cadê  Carla, ai ela : acabou de voar aqui ( no caso isso é o mosquito)  😹"
3982,"Agentes contra o mosquito transmissor da #Dengue, #Chikungunya e #Zika estão no bairro:Maria Cristina.Neb.:  Assistência e Maria Cristina"
3983,"'Crianças contra a Zika', do Ministério da Saúde, é um projeto que busca incentivar atitudes contra o mosquito: #ZikaZero"
3984,"Gringos coitados vão ter q se proteger do h1n1, zika vírus, chico cunha, temer vírus"
3985,"Isso era o governo d PT.Taí a invensão d ZIKA VÍRUS com mosquito d dengue,como bode espiatório e causador/Microcefal https://t.co/u1Xhdhu6f8"
3986,Como se proteger do Vírus Zika  #Ahtipeguei #Notícias #Humor #Curiosidades https://t.co/vxBUorijc5
3987,@Duanycavalcante sério cara tinha dois mosquitos da zika aqui kkkkkkkkk
3988,"@BlogDoPim Ela nunca soube falar Português. Haja visto a mandioca, o mosquito zika e estocar o vento... hahaha"
3989,N aguento mais andar com essa raquete (?) p lá e p cá tentando matar esses mosquitos zica virus
3990,Preocupante! Pedido de cancelamento das Olimpíadas p q a Zika n se espalhe pelo mundo. Estamos perdendo p mosquito 😢 https://t.co/wdsn5CLIRX
3991,bicho eu to com zika mas nao eh pros mosquitos continuarem em cima de mim nao porra
3992,"Mata inseto elétrico ClearPassage.  Elimina o mosquito da dengue, zika, chikungunya, malária… https://t.co/VnI7161jsU"
3993,"Tem grandes chances da redação do Enem ser sobre o mosquito aedes aegypti né, zika vírus e tal..."
3994,@bbcbrasil foi mosquito da zika kkkk
3995,"@dritorres_ @Margotcarvalho1 A 'zica'política teve uma primeira solução parcial. Já essa do mosquito, segue preocupando e muito."
3996,"@guisilva560 é melhor colocar no armário para espantar qualquer tipo de mosquito...em tempos de zika, deverá funcionar mais q. baygon."
3997,Que é essa propaganda do psdb com a cara do Aécio quase saindo da tela? É pra assustar até os mosquitos e acabar com o zika?
3998,krl os mosquito aq na sala tao de verdade hein vou sair daq c zika dengue e chigugunha n sei escreve
3999,"Basta a temperatura aumentar um tiquinho só, para os mosquitos renascerem da zika! AAAFFF... :V"
4000,Oi meninas hoje vou ensinar uma make pra vc ficar bem rosadinha vc tem que pegar um mosquito do zica virus e enfiar o ferrao dele em vc
4001,"Tem um mosquito transmissor da dengue, zika e chikungunya me seguindo loucamente"
4002,"Diário de um feirense Querido diário, um mosquito me sobrevoa e tenho medo de pegar Zika Vírus. Calor infernal como sempre e mil semáforos"
4003,cheguei na fase do jogo mortal que é morar em Feira de não saber quando é muriçoca ou mosquito transmissor da zika vírus
4004,"Fui Picado por um mosquito todo listradinho...se for oque transmite dengue,zika ou chikungunya to fodido pra caralho! Deus me ajuda"
4005,Meu signo é mosquito da dengue com ascendente em zika vírus
4006,Investimento em ... - https://t.co/2Sistqc6hk O ... #biologia #nomeiodaterra #repelente #zika #aedes #mosquito https://t.co/B67QAQsRuh
4007,"#todosContraOAedes Denuncie focos do mosquito.  Juntos combatemos a Dengue, a Zika e a Chikungunya  #ligue_22531177 https://t.co/s7xNJ7wnNy"
4008,como se sabe que um caso de zika é autóctone? pegam o passaporte do mosquito?
4009,"Não bastava a zika da vida, aí vem a zika do mosquito. #SextaComOClubeSDV"
4010,"SEM TRÉGUA  Vamos fazer a nossa parte no combate ao mosquito Aedes aegypti, transmissor da dengue, zika e... https://t.co/CaoawM3RvP"
4011,"Bactéria reduz transmissão de Zika por mosquito, mostra estudo brasileiro - Notícias - R7 Brasil https://t.co/thujzuGqPK"
4012,No mosquitos= No #zika https://t.co/gbhA3QFE6y
4013,@DJ_baseado zika? Zika é o mosquito meu querido
4014,"Porra tem um mosquito aqui querendo me picar, vai pegar zika amiguinho"
4015,A serenidade no olhar de um original que não tem medo de um mosquito da zika vírus https://t.co/6JzTQj1604
4016,O mosquito da dengue me mordeu duas vezes já... A zica tá maior que o Botafogo 👎🏾👎🏾
4017,Não esqueça: fique atento a possíveis focos do mosquito e faça a sua parte contra a zika! #CombataAZika
4018,Já ouviu ‘MC TONY - DEU ZICA- O MOSQUITO PIKAAAAA’ de Sylvio D'avila na #SoundCloud? #np https://t.co/LZ0l3tai1Q
4019,"Proteção contra o Mosquito da Dengue, Zika e Chikangunya !!! https://t.co/4jVh1FLsE6"
4020,@oatila um mosquito Aedes Aegypti infectado com Zika/Dengue/Chicungunya pode transmitir o vírus para as larvas?
4021,MC TONY - DEU ZICA- O MOSQUITO PIKAAAAA https://t.co/lhWzU2Xl8j
4022,"Minha mãe e pai tão tudo debilitados por causa dessa praga de zika e chicungunha sei lá como se escreve, mosquito maldito! 😠"
4023,@saudadesrenan_ Zika virus do mosquito
4024,"@Dna_Fabby @lourdesflintz A mídia afirma que mosquitos da Zica não podem c/milhões,desde de 1500 que esses milhões não acabam c/corruptos."
4025,How do #mosquitos get #Zika? @smslmoon @HHMINEWS explains https://t.co/HdlRLlCMfG https://t.co/L0XOGWWf2G
4026,"Matei um mosquito da zika, parece uma zebrinha kkkkk"
4027,"medo de ir p escola e ser picada por mosquistos, pois meu prof ta com chico cunha e minha migs c zika"
4028,@naosalvo poderia ser um pênislongo ou um aedes aegypti que picou ela e depois morreu de zika vírus (o mosquito) https://t.co/awHJWr4uFV
4029,"Se um mosquito picar alguém com zika e depois picar outra pessoa,essa última vai contrair o virus?"
4030,"não consigo mais culpar tubarões por atacar pessoas em praias  não consigo mais culpar mosquitos por passar zika, dengue etc pra as pessoas"
4031,eu agr to com medo dos mosquito pq eles transmite dengue zika Chico gunha e como é o nome do otro msm #ParamoreIsStillABand
4032,"O pior do mosquito não é a dengue ou a zika, o pior é o barulho q eles fazem no ouvido"
4033,"se eu tiver com zika vou atras desse mosquito fdp, vai ficar barato nao"
4034,"esses mosquitos de merda me mordendo,daqui a pouco vou pegar zika"
4035,"Se o mosquito da dengue picar, a pessoa pega zika, chikungunha e dengue ao mesmo tempo?"
4036,"vários mosquito me mordendo, muito medo da zica e da chikungunya"
4037,"MDS que chatisse esses mosquito, ja devo ter pego 9 zika e 17 Chico Cunha"
4038,"Mosquito da dengue infectado por bactéria, não conseguem transmitir zika @biologianaweb  #biotwitts  https://t.co/y7hgDOPwns"
4039,qualquer dia vou aparecer com zika pq esses mosquitos não me deixam
4040,"Mutirão e fiscalização em Ipatinga no combate ao mosquito da dengue, chikungunya e zika https://t.co/boCb3ct6CE https://t.co/W2aJ05QjAF"
4041,#mosquito #modificado #Zika #virus #warning  https://t.co/ytxXtQbekt
4042,meu cu fecha qnd sou ferrada por mosquito ja tenho medo de ser zika
4043,Mosquitos genéticamente modificados contra el ZIKA https://t.co/Lh65sbj3kr https://t.co/pJAv8jMT8k
4044,MC TONY - DEU ZICA- O MOSQUITO PIKAAAAA https://t.co/nzfHUMJ06R
4045,'roupa preta atrai mosquito zika vírus' agente não pode nem mais ser gótico ficar sozinho no quarto ouvindo umas musiquinha triste de boa???
4046,"JoMo n tem frescurinha de medo de zika não, vc acha que o Híbrido King Klaus vai der medo de um mosquito?pisa no @ 😂 #VampireAttraction2016"
4047,"#todosContraOAedes Denuncie focos do mosquito #ligue_22531177  Precisamos combater a dengue, a Zika e a Chikungunya. https://t.co/uTK91cKL2w"
4048,Carapebus tem TANTO mosquito que eu tenho ate medo de pegar zica
4049,Quando eu to no carro e de repente vejo um mosquito do zica virus https://t.co/3ETnsO8AYB
4050,"Minha mãe tava falando que essa doença  da zika vem do macaco, aí minha Vo perguntou se o macaco tinha mordido o mosquito Kkkkkkkkkkkk"
4051,um mosquito zika me picou vo ter isso de novo nao acredito
4052,Jornal Nacional - Medicamento já usado contra malária pode proteger fetos contra zika https://t.co/kIlpLldZGo
4053,New post: 'Remédio utilizado para tratar malária pode proteger fetos contra zika' https://t.co/D1UfhmkCdg
4054,"@mosquitocitou Crush!  Já peguei zika, aceito chikunãoseiescreveressenome"
4055,"Oh jesus tem tanto mosquito aqui que tô pra pegar dengue, zica, 'chicocunha' h1n1 ta difícil"
4056,"Praça 09 de Junho servindo de criadouro do mosquito da Dengue, Zika e Chikungunya.  Absurdo! @… https://t.co/yF5QJofFyL"
4057,"Tem 3 mosquitos aqui querendo me picar, to cheio de medo de ser Zica 🌝"
4058,"Agentes contra o mosquito transmissor da #Dengue, #Chikungunya e #Zika estão nos bairros:Centro, V. Operária e Mãe Preta Neb,:  Assistência"
4059,"#ZIKA #RIO2016 Paolo Zanotto, Prof. Microbiology Uni. São Paulo wouldn't answer key questions about Zika, Mosquitoes &amp; Rio on 25/4. Why not?"
4060,Pernambuco investe em pesquisas para combater mosquito transmissor do vírus Zika https://t.co/75DaD4du59 via @PSBNacional40
4061,Já ouviu ‘MC TONY - DEU ZICA- O MOSQUITO PIKAAAAA’ de Sylvio D'avila na #SoundCloud? #np https://t.co/LZ0l3tai1Q
4062,"A cidade e os mosquitos: os desafios da saúde frente às epidemias da dengue, zika e... (São Paulo/SP - 17/05/2016) - https://t.co/VfiXeyG8UP"
4063,"Toco medo de ta com zica,chicuncunha, os mosquito tudo. Serio. To com a pele vermelha e cheia de dor. 😒"
4064,"Nossa até pela manhã esses mosquitos da zika aparecem gzuuiis, vcs n dormem n?"
4065,Com a epidemia da Zika o pessoal vai manter a foto para afugentar os mosquitos... https://t.co/oqFpp4e9we
4066,@RICARDOLEITE01 Em época de mosquito da zika é bom ter algo que afaste-os. Usar espantalho é uma boa tática. Saúde em primeiro lugar.
4067,Não esqueça: fique atento a possíveis focos do mosquito e faça a sua parte contra a Zika! #TodosContraAZika ☺
4068,MC TONY - DEU ZICA- O MOSQUITO PIKAAAAA https://t.co/zMTAkJbG9o
4069,"Em tempos de dengue, zika, etc...ter um espantalho pra assustar o mosquitos e prernilongos é uma atitude pela saúde. https://t.co/y5DaETIDi5"
4070,"@pefabiodemelo padre, que que a gente faz pra se proteger da zica da sexta feira 13?"
4071,"Tem gente que só uma picadinha de leve já tá com zika, eu os mosquitos já me picaram umas 1000 vezes e até agora to ok"
4072,vc diria não a esse homem vestindo essa blusa que zica mais que o mosquito da dengue https://t.co/Pj6jM1YpbC
4073,"Caos na saúde, dengue, zica, gripe e ministro se limita a multas para foco de mosquito e trazer brasileiros p mais médicos. Fraco"
4074,Eu to do lado de um mosquito ZIKA😂😂😂😂😂😂😂😂 @Isa_230503
4075,Gente tava passando um comerial do mosquito da dengue e tinha bonecos falando sobre a dengue : Se o mosquito n pica tchau zika
4076,gente toda vez que entro no ecampus tomo um susto com aqueles mosquito do zika voando na tela
4077,Pra espantar mosquitos da Zika https://t.co/wc7RbivrJl
4078,@danifeia_ tomara q aquele mosquito zika lá pica ele KKKKKKKKKKKKK
4079,Repelente não é capaz de evitar o mosquito do #zikavirus  https://t.co/oM0sVczYok   #dengue #HistoryDay
4080,"Se um dia o mosquito da zika me morder não sou eu que vou pegar zika, ele que vai pegar FERA"
4081,MosquitoTransgênico Zika e Microcefalia - Qual a Relação?  https://t.co/jgorzKWfA4 Herança do DESGOVERNO da #CORJA¹³ https://t.co/Z7TAtxbsle
4082,Governo teme que distribuição do repelente diminua combate ao mosquito transmissor do zika:  https://t.co/eSMLh37Wus
4083,Quando posa algum mosquito em mim eu logo penso em zika (😂) vírus
4084,Todo mosquito que me pica eu já acho que é o zika 😥😂
