,tweets_VBZ
212,"Y me marche victoriosa! No me dio Dengue, Zika ni Chikungunya (o como se escriba) *A los mala sangre no le pican los mosquitos*"
208,"Ejemplo a seguir.   //  Encontrar al mosquito del zika, casa por casa https://t.co/yK126LC72y vía @el_pais"
361,"Se a confirmado el primer caso de zika por transmisión sexual, se recomienda no coger con mosquitos."
67,Proteja a sus niños de las picaduras de mosquitos con repelentes aprobados por la EPA: https://t.co/rHHpF37VDr #Zika https://t.co/SndQv4Chxx
195,¿Vas a #Brasil para los #JJOO #RIO2016? Recuerda las recomendaciones p/protegerte del #ZIKA https://t.co/3uZdr7bnxf https://t.co/Cf54hwwIQf
218,"Proteja a su familia de los mosquitos del zika ,dengue y chikungunya.  Instalamos cedazos fijos y corredizos para... https://t.co/odiUpyqdZg"
257,cuando me pica un mosquito flasheo el zika o dengue basta
189,"@ELCOYOTETHESHOW @Mariovipr lo ideal es q las embarazadas eviten a los mosquitos, ya q el zica afecta a los bebes en gestación."
248,Previo a la descacharrización se entregaron folletos informativos para prevenir el mosquito del Zika.
71,EXHORTAN A POBLACIÓN A ESTAR ALERTA ANTE POSIBLE DE MOSQUITOS #Lluvia #Salud #Zika #NotiRey… https://t.co/wWrWjsvniy https://t.co/KGD1b2yay8
209,"'Verlo a simple vista (mosquito del zika) es bastante difícil, más importante son las medidas de prevención' Francisco Zamora de @usach"
292,Salí a comprar al super y me picaron mil mosquitos ya tengo dengue zika y chikungunya
309,@Sergiiio_Stone A ponernos #MoscaConLosMosquitos y a informarnos muy bien sobre el zika para prevenirlo https://t.co/qPPzXr1jH5
123,Llega a Chile mosquito que transmite el zika https://t.co/paIdIjnSAI | https://t.co/Pq5au68xKV https://t.co/2eU9wHuu5K
75,Check out this site: http://t.co/ihTnERKDNU. El Virus Zika es una amenaza real para los dominicanos. Cuidado con el mosquito Aedes Aegypti.
268,"Si a un enchufado rojo lo pica un mosquito infectado con Zika, Chikungunya y Dengue SE MUERE... el mosquito"
266,"Ayude a controlar los mosquitos que transmiten los virus del dengue, chikungunya y Zika https://t.co/rGwuIh5mtA https://t.co/GB81ksZ6Fg"
188,Yo me quedo bobo con la facilidad que salen cosas a causa de un mosquito. #Zika
338,Piden a viajeros de #EEUU evitar picaduras de mosquitos ante propagación del #Zika https://t.co/FmSdGUGA94
175,"Debido a que el mosquito Aedes que propaga el Zika se encuentra en todo el mundo, es probable que los brotes se extenderán a otros países."
321,Únete a @ReproRights en su petición para proteger los #derechosreproductivos para enfrentar el #Zika https://t.co/C1f9phfusV
80,cuando me pica un mosquito me recorro toda la casa buscandolo a ver si no tiene manchas blancas y es el dengue o zica porque TRAUMADA
153,Gracias a @Lachacharaco por compartir mi punto de vista sobre el manejo que se le ha dado al Zika y al mosquito https://t.co/tN1JRoJkGW
116,Llega a Chile mosquito que transmite el zika https://t.co/s7KVKLAJvX | https://t.co/5fuGwutcC3 https://t.co/sbpCfxvxIO
220,"Cuida a niñas y niños, adultos mayores y mujeres embarazadas de la picadura del mosquito #Zika #Dengue #Chikungunya https://t.co/j6lKfiPtat"
316,"Pide a la población a sumarse a  tareas de prevención  contra el mosquito transmisor del dengue, zika y Chikungunya… https://t.co/yjQ2khrJJR"
294,"*leer a ritmo de la melodia del pique de fondo*  este es el mosquito que te pega el Zika, PICA yeeee como lo hace  ZIKA ZIKA ZIKA ZIKA ZIKA"
86,Previo a la descacharrización se entregaron folletos informativos para prevenir el mosquito del Zika.
272,Vamos a trabajar junto a la OMS y nuestros socios para tomar medidas y proteger a la población del virus del zika https://t.co/zT4dmRYOnR
66,Enseñe a sus hijos que las picaduras de mosquitos son malas con el libro de actividades de los CDC sobre #Zika. https://t.co/rkMNkIlMsq
300,"Chicos me pico un mosquito, el zika me tiene, la quedo aca los quiero"
162,Llega a Chile mosquito que transmite el zika: Autoridades de Chile confirmaron el hallazgo del mosquito Aedes ... https://t.co/ZWHPoh7nxr
211,"Cuida a tu niño de la picada de un mosquito, ya que estos pueden contaminarlos de Zika, Malaria y/o Dengue.... https://t.co/ixZcbwSkEj"
20,Salí a correr y me picaron mil mosquitos. #Zika
324,"Convocados a participar en lucha contra el mosquito de Dengue, #Zika y Chikungunya https://t.co/eevB87MuzF https://t.co/ZsuAubVpjI"
87,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. https://t.co/Ap3EHkZfR3
118,Llega a Chile mosquito que transmite el zika https://t.co/H5yrEc860Y | https://t.co/j6e8kDKcdP https://t.co/7kliSWaXLr
230,Últimamente me han dado unas tremendas chingas los mosquitos. En una de esas me voy a contagiar de Zika  *léase 'Zika' con voz tenebrosa*
0,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/gQOQYFGEm9
52,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. https://t.co/1634cALnob
260,Voy a esperar a que un mosquito me contagie de ZIKA y ojalá muera mientras duermo… ☹️
74,Exhortamos a la población a continuar evitando la formación de criaderos de mosquitos transmisores de la enfermedad. #ZikaVirus
312,"Ayude a controlar los mosquitos que transmiten los virus del Dengue, Chikunguya y Zika https://t.co/DjNnT6AJN2"
