,tweets_VBN
510,Ya me pico el zica y todos los mosquitos habidos por haber
171,se me acerca un mosquito y ya me desespero porque pienso que es dengue zika y todo junto
266,"Proteja a su familia de los mosquitos del zika ,dengue y chikungunya. Instalamos cedazos fijos y corredizos para... https://t.co/jDAsCEjvFK"
327,"Protege a tu familia de las enfermedades causadas por el mosquito del dengue, zika y chikungunya. https://t.co/mGwTIMmEz6"
82,Retweeted SEGOB México (@SEGOB_mx):  ¡Protégete! El mosquito transmisor del #Dengue #Chikungunya y #Zika vive en... https://t.co/rWMmzVhqy4
384,"Ayude a controlar los mosquitos que transmiten los virus del dengue, chikungunya y Zika. Vía @CDCgov https://t.co/GSEFIa0gzX"
477,Retweeted Los Tiempos (@LosTiemposBol):  Descartan que mosquito común transmita el zika https://t.co/q7K84omJNx... https://t.co/eCRBbUIq1x
226,"Volvemos a lo mismo, el Zika no es un mosquito @elcircodelamega @pamelanoa @FunkyJoeElCirco @cheboricua"
16,Retweeted UNICEF en español (@UNICEFenEspanol):  Controlar los mosquitos para detener el #Zika... https://t.co/OZeAESA5b6
243,Retweeted CePre Salud (@CePreSalud):  El virus zika se transmite tras la picadura de un mosquito del género... https://t.co/Q5iFZdbOjR
215,"Regreso a casa y   OH SORPRESA !   SIN LUZ @ANDEOficial   Por favor 🙏🏻😭🙏🏻😭  Barrio Seminario , mosquitos , dengue , zika !  CALOOOR !"
259,Enseña a niñas y niños como evitar la propagación de mosquitos transmisores de virus #Zika #Chikungunya y #Dengue https://t.co/OngiEhwjwC
535,"¿Viajás a los JJOO #Río2016? Evitá las picaduras de mosquitos que transmiten #dengue, #zika y #chikungunya. https://t.co/dJf81AG9nl"
76,"Retweeted MinSalud (@MinSaludCol):  Ensayos de control biológico al Aedes aegypti, mosquito transmisor de zika,... https://t.co/PHbWzyzF2V"
231,"Retweeted ISSSTE (@ISSSTE_mx):  El #Zika no se contagia de persona a persona, sino por el mosquito transmisor de... https://t.co/xPUdgkIAKA"
236,Retweeted BBC Mundo (@bbcmundo):  8 cosas que puedes hacer para protegerte del virus zika https://t.co/YNOSVikO45... https://t.co/HPBW8Aqqsq
358,¿Quien me dice que no crearon el zika?... #MiercolesDeGanarSeguidores  Crean mosquitos para combatir el paludismo https://t.co/n6UAZXtjB3
632,¿Cómo me protejo de las picaduras de los mosquitos?  #Zika @Salud_Ec https://t.co/KFzgOpXIH4
336,Retweeted Infobae América (@InfobaeAmerica):  Un mosquito 'bueno' modificado genéticamente para frenar el zika... https://t.co/sMCUlLeEx5
118,"fui a las barrancas y me comieron los mosquitos , con la liga que tengo me agarro zika"
483,Retweeted RT en Español (@ActualidadRT):  La OIEA propone esterilizar mosquitos para combatir el zika... https://t.co/BEsZBswIkX
303,¿Vas a viajar a #Brasil a los #JJOO? Con nosotros estarás protegido del #Mosquito del #Zika! https://t.co/XEMZ8SeigS
531,"¡Aprende a proteger tu familia y a ti del Zika! Charla gratuita este miércoles, 5 de octubre a las 10am. en el... https://t.co/0Y7mfFFs9b"
499,"*leer a ritmo de la melodia del pique de fondo*  este es el mosquito que te pega el Zika, PICA yeeee como lo hace  ZIKA ZIKA ZIKA ZIKA ZIKA"
96,"Empiezo a creer que tengo la cura del zika, mil mosquitos me pican y solo para romperme los huevos"
22,"Retweeted UNICEF México (@UNICEFMexico):  El #Zika es un virus que transmite el mosquito Aedes, el mismo que... https://t.co/jtWK8DVMSw"
265,Retweeted Sin Embargo (@SinEmbargoMX):  #Destacadas Un pueblo de Brasil erradica el mosquito del zika... https://t.co/lUHfHWWonV
568,Retweeted Liga de Amas de Casa (@LigaAmasdeCasa):  #Prevencion #Zika Combatir el mosquito es simple:empezá por tu... https://t.co/ZACkdRDWvc
123,Retweeted MasPorRD (@MasPorRD):  Importante información para prevenir el #ZikaVirus y proteger la #salud de... https://t.co/UmhpDZ0Yzx
157,Retweeted Ministerio de Salud (@msalnacion):  #dengue #chikunguña #zica ¿Cómo prevenir las picaduras de mosquitos... https://t.co/d7n2y5l8g0
566,Retweeted ARMAK de ODELOT (@ARMAKdeODELOT):  VIRUS ZIKA y MOSQUITOS OGM  COSAS que te OCULTAN y que DEBES CONOCER... https://t.co/gKJifiD3nM
320,Ya me picaron los mosquitos. ¿Y el zika?
516,Respecto a la 'epidemia' Zika. No le echen la culpa al mosquito; busquen respuestas en los fungicidas empleados en la agricultura. Demandas
350,hoy me picaron muchos mosquitos y bueno NO QUIERO MORIR DE ZIKA
321,"salí a tomar mates y me acribillaron los mosquitos! Hola dengue, Zika y chikungunya"
108,Vengo a contar que tengo una roncha del tamaño de mi dedo pulgar y seguro me pico un mosquito con zika.
207,"Si a Petete Martínez lo pica un mosquito con Zika, se muere el mosquito."
102,Retweeted SERTV (@SERTVPANAMA):  ¡Sabías que! el ZIKA es un virus que se transmite por medio del mosquito... https://t.co/T7SIh6RPjI
287,"Retweeted DAVID ROMERO VARA (@DAVIDROMEROVARA):  El temor a ser picados por el mosquito transmisor del #Zika ,... https://t.co/LNPgwxZBXV"
66,Retweeted teleSUR TV (@teleSURtv):  El mosquito que transmite el #Zika es el mismo de la Chikungunya... https://t.co/w4als8K1qt
348,Retweeted SENAFRONT PANAMÁ (@senafrontpanama):  El virus Zika se propaga por medio de picadura del mosquito... https://t.co/WD9BKM6iL6
124,"Retweeted BBC Mundo (@bbcmundo):  Así es el mosquito que causa el zika, el dengue y la chikungunya... https://t.co/qQ3rSsFHx7"
225,"Ya me picó un mosquito, si me va a dar el virus Zica, que sea pa' rebajar."
28,Retweeted Alberto Correa (@albertojcorrea):  Labores para exterminar al mosquito del zika https://t.co/iHmcKYD5Lv https://t.co/QMx40P4Msj
276,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/xhF1KsulE2
587,Retweeted Ministerio de Salud (@msalnacion):  ¿Conocés el ciclo de vida del mosquito que transmite #dengue #zika... https://t.co/j6miXXrsPN
271,Advierten a estadounidenses no viajar a Venezuela por el virus zika: La infección la transmiten los mosquitos ... https://t.co/G5I1wzfaXW
214,ya me pico un mosquito seguro tengo el zika DIOS ME OIGA
602,"Protege a tu Familia del VIRUS ZIKA ! Es un virus que se transmite por la picadura de mosquito , vectores del... https://t.co/CrHJJv6avr"
