,tweets_VB
9,Vacunarán a mosquito del #Zika para evitar que propague la enfermedad https://t.co/yZBeljA1Nf https://t.co/yHfqG7VJQA
335,Únete a @ReproRights en su petición para proteger los #derechosreproductivos para enfrentar el #Zika  https://t.co/PVkCWXbxeU #Las17
69,"fui a las barrancas y me comieron los mosquitos , con la liga que tengo me agarro zika"
336,Vete a Herrera a ver si no hay Zika. La capital esta llena de mosquitos y la gente no sabe los síntomas.   https://t.co/aAtnKsCuQZ
346,"Si a Gasol le pica un mosquito con Zika solo estaría 3 días con gripe, dice experto https://t.co/d1ml33lB1r https://t.co/oO5VITOsav"
154,"Ya me picó un mosquito, voy tramitando mi crónica de tener zika en @RevistaPaco"
269,Vamos a estar informando como prevenir el Zica y suministrando abate a la comunidad de #ElCalvario para evitar la proliferación del mosquito
365,Piden a infectados con #zika evitar picadura del mosquito en EE.UU. https://t.co/TTMuzJXwUy #CDC
51,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. https://t.co/1634cALnob
209,"Cuida a tu niño de la picada de un mosquito, ya que estos pueden contaminarlos de Zika, Malaria y/o Dengue.... https://t.co/ixZcbwSkEj"
130,se me para un mosquito y ya flasheo zika
263,*viaja a brasil porque es mas barato**gasta el doble porque le pico un mosquito del zika*
41,Ya me imagino a los mosquitos del zika picándote  y dejándote un mensaje con labial en el baño.
158,¡Protege a toda la familia de los mosquitos de manera 100% natural! De venta en @PlazaLama. #Prevención #ZikaVirus https://t.co/GqVnFVM4Fr
108,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/E8vBDDLKmC
261,"Ayude a controlar los mosquitos que transmiten los virus del dengue, chikungunya y Zika https://t.co/rGwuIh5mtA https://t.co/3yydPl04n6"
358,Vas a ser #Mamá en esta época de #Zika?  DEBES #PROTEGERTE de las picaduras de los #BICHOS… https://t.co/9vuuEKHMfB
274,Súmate a la misión #Zika ayudando a ubicar y remover criaderos de mosquitos . Ver vídeo: https://t.co/MF11c2QPVQ https://t.co/oK6k3rJiSK
5,Voy a morir me trague un mosquito y después me entro uno por la nariz. Muerte por zika yate100to
143,"Ya me picaron como 82747273 mosquitos, ya teno zica, dengue, chicungunya y todo el pedo"
247,¡Atentos a los mosquitos! Combatamos la propagación de enfermedades #Zika https://t.co/VS8rfjIbnU https://t.co/5i2bKtuy05
112,Llega a Chile mosquito que transmite el zika https://t.co/1M4qcGiQa9
294,Ayude a controlar los mosquitos. #Mosquitoes #Zikavirus https://t.co/K0hZ7aFKnW
65,Enseñe a sus hijos que las picaduras de mosquitos son malas con el libro de actividades de los CDC sobre #Zika. https://t.co/rkMNkIlMsq
194,Ya me picaron tantos mosquitos que no se cual es el zika.
255,"¡Alto a los mosquitos!, alto a la propagación de enfermedades #Zika #ZikaVirus https://t.co/aDum0XFx7J"
359,Protege a tus niños de los males transmitidos por mosquitos #zika https://t.co/2P7OctmjMZ https://t.co/Q4e8LYmKQU https://t.co/Qm1idBPhMT
