,tweets_VBP
223,"Ya me picaron tantas veces los mosquitos que no me sorprendería que me diagnostiquen dengue, zika o chikungunya. 😩"
254,cuando me pica un mosquito siento que ya tengo zika
303,Volverán a hacer pruebas con mosquitos modificados para erradicar el virus zika https://t.co/xDL6lyz4T9 https://t.co/v5HX7zIcf5
159,"Voy a comprarme un repelente, porque con la suerte que tengo me va a picar un mosquito con zika y voy a ser el primer caso en Chile"
174,"Salí a caminar y me tope con un enjambre de mosquitos. Si despues me ven con dengue, zika o chucungunya (o como sea) no se impacten jajaja😂"
64,"Únete a la #Zikatrón. Si vives o viajas a una zona afectada por el zika, protégete del mosquito y usa condón en tus relaciones sexuales"
227,THELUSONAUTA a spot4US: CNN: AERIAL SPRAYING &amp; MILLIONS OF GMO MOSQUITOS IN FLORIDA TO FIGHT 'ZIKA'... | @scoopit https://t.co/VZpwV55t0j
90,Voy a importar el repelente para mosquitos con zika #IdeaMillonaria
314,"¿Viajás a los JJOO #Río2016? Evitá las picaduras de mosquitos que transmiten #dengue, #zika y #chikungunya. https://t.co/dJf81AG9nl"
83,"grave no son los huertos si no la mentira,no hay agua,con una epidemia de zika,dengue,chikunguya a criar mosquitos https://t.co/C2CqxcceYm"
278,follow  frederick_x5 Resultados preliminares revelan más mosquitos con zika en Miami Beach: MIAMI (EE.UU.). Las ...  follow  frederick_x5
362,Protege a tus niños de los males transmitidos por mosquitos #zika https://t.co/2P7OctmjMZ https://t.co/Q4e8LYmKQU https://t.co/Qm1idBPhMT
13,"Ya me picaron como 10 mosquitos, como eran los efectos del zica?"
100,"Combate a Zika, Dengue y Chikungunya para proteger a familias de Centro https://t.co/nyVmJsqYPU https://t.co/fQPOOcLVJK"
358,como me tienen con el zika el dengue que mosquito del orto tanto nos iban a romper las pelotas
118,Llega a Chile mosquito que transmite el zika https://t.co/efNRMronuE | https://t.co/43jxVu5tsZ https://t.co/PZHhr4YJSq
299,"Chicos me pico un mosquito, el zika me tiene, la quedo aca los quiero"
310,Íbamos a morir de la Gripe Aviar...luego llegó el Mosquito Tigre...más tarde el Ébola...y ahora el Zika. La cosa es morir todos a la vez!!
336,Piden a viajeros de #EEUU evitar picaduras de mosquitos ante propagación del #Zika https://t.co/w8BqL6hHG2
76,Ya me jodi si los mosquitos tienen zika en la uni
23,"Cuida a tu familia de los mosquitos que trasmiten el zika, dengue y chikungunya, evitando los criaderos por el... https://t.co/6P41WUCJ4R"
47,"Reconocen a 10 escuelas como espacios libres de criaderos del mosquito transmisor de Zika, Dengue y Chikungunya. 8.40 am en @MasNoticiasVer"
188,Todos a cuidarnos del mosquito transmisor del zika.. https://t.co/DXJMPDCNql
250,¡Atentos a los mosquitos! Combatamos la propagación de enfermedades #Zika https://t.co/VS8rfjIbnU https://t.co/5i2bKtuy05
63,Catch 22 Zika Mosquitos #CurrentEventAStory
338,Únete a @ReproRights en su petición para proteger los #derechosreproductivos para enfrentar el #Zika  https://t.co/PVkCWXbxeU #Las17
248,Previo a la descacharrización se entregaron folletos informativos para prevenir el mosquito del Zika.
